Scheduler,Input Output data Type,Model Name,Number of Requests,QPS,Request No,Prefill Token Count,Decode Token Count,Prefill Time,Decode Time,Request Execution Time,Request End-to-End time,Scheduling Delay
sarathi,long input long output,llama2_7b,1,1.0,0,3518,2793,1.1000519134104252,90.42676137201488,91.5268132854253,91.52707234304398,0.0002590576186776
sarathi,long input long output,llama2_7b,2,1.0,0,3518,2793,1.115225444547832,95.43831616267562,96.55354160722344,96.5538212954998,0.0002796882763504
sarathi,long input long output,llama2_7b,2,1.0,1,2057,1306,0.7080996390432119,45.704658372327685,46.4127580113709,47.4628076069057,1.0500495955348017
sarathi,long input long output,llama2_7b,3,1.0,0,3518,2793,1.117579991929233,104.94066437333822,106.05824436526746,106.05856474582106,0.0003203805536031
sarathi,long input long output,llama2_7b,3,1.0,1,2057,1306,0.7156105516478419,49.58151716459543,50.29712771624327,51.3493368467316,1.052209130488336
sarathi,long input long output,llama2_7b,3,1.0,2,2302,2548,0.849688152782619,96.24070619884878,97.0903943516314,98.4926386922598,1.4022443406283855
sarathi,long input long output,llama2_7b,4,1.0,0,3518,2793,1.1146356221288445,128.1090907175094,129.22372633963823,129.22418323531747,0.0004568956792354
sarathi,long input long output,llama2_7b,4,1.0,1,2057,1306,0.7117901127785444,59.44962567090988,60.161415783688426,61.2108453027904,1.0494295191019771
sarathi,long input long output,llama2_7b,4,1.0,2,2302,2548,0.8433591602370143,117.17991872597486,118.02327788621189,119.41912195179611,1.3958440655842423
sarathi,long input long output,llama2_7b,4,1.0,3,7451,3879,3.015290960669517,168.70912738796324,171.72441834863275,173.66461047437042,1.940192125737667
sarathi,long input long output,llama2_7b,5,1.0,0,3518,2793,1.1031501134857535,145.0068255746737,146.10997568815947,146.11020479537547,0.0002291072160005
sarathi,long input long output,llama2_7b,5,1.0,1,2057,1306,0.7022390374913812,67.82979348301888,68.53203252051026,69.5699306782335,1.037898157723248
sarathi,long input long output,llama2_7b,5,1.0,2,2302,2548,0.8349140426144004,132.92925593722612,133.76416997984052,135.13938833586872,1.3752183560281992
sarathi,long input long output,llama2_7b,5,1.0,3,7451,3879,2.992802817374468,194.38269433006644,197.3754971474409,199.287257344462,1.9117601970210671
sarathi,long input long output,llama2_7b,5,1.0,4,5074,5992,2.3012211536988616,271.88792902231216,274.189150176011,277.7068367647007,3.517686588689685
sarathi,long input long output,llama2_7b,6,1.0,0,3518,2793,1.1091112960129976,168.8064080895856,169.9155193855986,169.91571640595794,0.0001970203593373
sarathi,long input long output,llama2_7b,6,1.0,1,2057,1306,0.7092697601765394,78.45632700622082,79.16559676639736,80.2097532292828,1.0441564628854394
