Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,llama2_7b,1,1.0,92.55,1.1000519134104252,0.03238780851433198,91.52707234304398,0.010804970286331712,68.19016747703944,30.178282009724473,39371.0
sarathi,long input long output,llama2_7b,2,1.0,97.58,1.094869154272601,0.03498072928574706,94.0992706110701,0.020496003279360527,99.13916786226686,42.006558721049394,39371.0
sarathi,long input long output,llama2_7b,3,1.0,107.08,1.0907908080145716,0.03797274051069078,105.30197214046493,0.028016436309301458,135.63690698543147,62.07508404930893,39371.0
sarathi,long input long output,llama2_7b,4,1.0,175.29,2.7301926598884156,0.04598863166581561,166.99854638851247,0.02281932797079126,147.49272633920933,60.04906155513721,39371.0
sarathi,long input long output,llama2_7b,5,1.0,280.66,2.8544864846393465,0.05214778711900978,262.022920880653,0.017815150003563027,131.5470676263094,58.85412955177082,39371.0
sarathi,long input long output,llama2_7b,6,1.0,305.61,4.087111195316538,0.062032788453915265,282.8601840704214,0.019632865416707567,155.9242171394915,61.46722947547528,39371.0
sarathi,long input long output,llama2_7b,7,1.0,331.45,4.704759639315307,0.07112029932300644,304.5796712102368,0.021119324181626188,175.8968170161412,64.39281942977824,39371.0
sarathi,long input long output,llama2_7b,8,1.0,352.12,111.08105939514925,0.07454896639895983,327.4789764500223,0.022719527433829375,186.47620129501306,71.14904009996592,39371.0
sarathi,long input long output,llama2_7b,9,1.0,377.51,174.0493009943515,0.07533222223219788,358.11768195200716,0.023840428068130647,202.52443643876984,73.0841567110805,39371.0
sarathi,long input long output,llama2_7b,10,1.0,399.3,174.5519450310152,0.07544284355510783,392.7729538684711,0.025043826696719257,442.9701978462309,150.19784623090408,39371.0
sarathi,long input long output,llama2_7b,10,2.0,394.47,170.72229884662664,0.0740528949954872,378.3177345313597,0.025350470251223157,224.1970238547925,76.01845514234289,39371.0
sarathi,long input long output,llama2_7b,10,3.0,557.2,170.60030510514042,0.10243993706066029,514.5141701857558,0.017946877243359655,158.72038765254845,53.817300789662596,39371.0
sarathi,long input long output,llama2_7b,10,4.0,855.64,364.74933052146804,0.15752294223882074,819.6215143570209,0.011687158150624094,103.36005796830443,35.04628114627647,39371.0
