run_name,run_dir,scheduler,scheduler_family,request_type,sweep_type,model,model_full,num_requests,qps,tensor_parallel_degree,gpu_memory_utilization_target,max_model_len,max_gpu_memory_used_mib,mean_gpu_memory_used_mib,max_gpu_utilization_pct,mean_gpu_utilization_pct,completed_requests,total_prefill_tokens,total_decode_tokens,mean_prefill_tokens,mean_decode_tokens,ttft_exec_sec_mean,ttft_exec_sec_min,ttft_exec_sec_max,ttft_exec_sec_p50,ttft_exec_sec_p90,ttft_exec_sec_p95,ttft_exec_sec_p99,ttft_user_sec_mean,ttft_user_sec_min,ttft_user_sec_max,ttft_user_sec_p50,ttft_user_sec_p90,ttft_user_sec_p95,ttft_user_sec_p99,tpot_sec_mean,tpot_sec_min,tpot_sec_max,tpot_sec_p50,tpot_sec_p90,tpot_sec_p95,tpot_sec_p99,tpot_including_first_output_sec_mean,tpot_including_first_output_sec_min,tpot_including_first_output_sec_max,tpot_including_first_output_sec_p50,tpot_including_first_output_sec_p90,tpot_including_first_output_sec_p95,tpot_including_first_output_sec_p99,e2e_sec_mean,e2e_sec_min,e2e_sec_max,e2e_sec_p50,e2e_sec_p90,e2e_sec_p95,e2e_sec_p99,scheduling_delay_sec_mean,scheduling_delay_sec_min,scheduling_delay_sec_max,scheduling_delay_sec_p50,scheduling_delay_sec_p90,scheduling_delay_sec_p95,scheduling_delay_sec_p99,execution_time_with_preemptions_mean,execution_time_with_preemptions_min,execution_time_with_preemptions_max,execution_time_with_preemptions_p50,execution_time_with_preemptions_p90,execution_time_with_preemptions_p95,execution_time_with_preemptions_p99,prefill_exec_with_preemption_mean,prefill_exec_with_preemption_min,prefill_exec_with_preemption_max,prefill_exec_with_preemption_p50,prefill_exec_with_preemption_p90,prefill_exec_with_preemption_p95,prefill_exec_with_preemption_p99,decode_exec_with_preemption_mean,decode_exec_with_preemption_min,decode_exec_with_preemption_max,decode_exec_with_preemption_p50,decode_exec_with_preemption_p90,decode_exec_with_preemption_p95,decode_exec_with_preemption_p99,total_preemption_time_sec_mean,total_preemption_time_sec_min,total_preemption_time_sec_max,total_preemption_time_sec_p50,total_preemption_time_sec_p90,total_preemption_time_sec_p95,total_preemption_time_sec_p99,total_preemptions_mean,total_preemptions_min,total_preemptions_max,total_preemptions_p50,total_preemptions_p90,total_preemptions_p95,total_preemptions_p99,num_pauses_mean,num_pauses_min,num_pauses_max,num_pauses_p50,num_pauses_p90,num_pauses_p95,num_pauses_p99,total_inference_time_sec,request_throughput_req_per_sec,decode_token_throughput_tok_per_sec
custom_sarathi_long_input_long_output_fixed_qps_num_requests_1_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_1_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,1,1.0,2,0.85,20480,39427.0,35790.197403760074,100.0,23.692927484333033,1,3518,2793,3518.0,2793.0,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4298493906389922,1.4298493906389922,1.4298493906389922,1.4298493906389922,1.4298493906389922,1.4298493906389922,1.4298493906389922,0.04375577505511488,0.04375577505511488,0.04375577505511488,0.04375577505511488,0.04375577505511488,0.04375577505511488,0.04375577505511488,0.04374010882702497,0.04374010882702497,0.04374010882702497,0.04374010882702497,0.04374010882702497,0.04374010882702497,0.04374010882702497,123.59597334451972,123.59597334451972,123.59597334451972,123.59597334451972,123.59597334451972,123.59597334451972,123.59597334451972,0.0003478026483207,0.0003478026483207,0.0003478026483207,0.0003478026483207,0.0003478026483207,0.0003478026483207,0.0003478026483207,123.5956255418714,123.5956255418714,123.5956255418714,123.5956255418714,123.5956255418714,123.5956255418714,123.5956255418714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,1.4295015879906714,122.16612395388074,122.16612395388074,122.16612395388074,122.16612395388074,122.16612395388074,122.16612395388074,122.16612395388074,1.6527017992921174,1.6527017992921174,1.6527017992921174,1.6527017992921174,1.6527017992921174,1.6527017992921174,1.6527017992921174,2820.0,2820,2820,2820.0,2820.0,2820.0,2820.0,2821.0,2821,2821,2821.0,2821.0,2821.0,2821.0,124.63,0.008023750300890637,22.41033459038755
custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_2_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,2,1.0,2,0.85,20480,39427.0,35783.133827375765,100.0,24.494768962510896,2,5575,4099,2787.5,2049.5,1.1733265101211146,0.8985101450234652,1.448142875218764,1.1733265101211146,1.393179602199234,1.420661238708999,1.442646547916811,1.8561924458481371,1.4483677858952433,2.264017105801031,1.8561924458481371,2.1824521738104523,2.2232346398057414,2.255860612601973,0.04466131273986172,0.04443275858164447,0.04488986689807897,0.04466131273986172,0.04484415606643552,0.044867011482257246,0.04488529581491463,0.04463617241955839,0.044416849967759166,0.04485549487135762,0.04463617241955839,0.04481163038099777,0.0448335626261777,0.04485110842232164,93.17496157682035,60.84529340779409,125.5046297458466,93.17496157682035,119.03869611204135,122.27166292894397,124.85803638246607,0.6828659357270226,0.0002249106764793,1.3655069607775658,0.6828659357270226,1.2289787557674572,1.2972428582725115,1.351854140276555,92.49209564109333,59.47978644701652,125.50440483517012,92.49209564109333,118.90194299635476,122.20317391576243,124.84415865128858,1.1733265101211146,0.8985101450234652,1.448142875218764,1.1733265101211146,1.393179602199234,1.420661238708999,1.442646547916811,91.31876913097221,58.58127630199306,124.05626195995136,91.31876913097221,117.50876339415552,120.78251267705343,123.40151210337177,1.3001702264882624,0.6662409328855574,1.9340995200909676,1.3001702264882624,1.8073136613704266,1.870706590730697,1.9214209342189135,2071.0,1322,2820,2071.0,2670.2,2745.1,2805.02,2072.0,1323,2821,2072.0,2671.2,2746.1,2806.02,126.52,0.015807777426493835,32.398039835599114
custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_3_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,3,1.0,2,0.85,20480,39427.0,35855.77729636049,100.0,23.915511265164646,3,7877,6647,2625.6666666666665,2215.6666666666665,1.1475494902891417,0.914856530027464,1.4738910337910056,1.0539009070489556,1.3898930084425956,1.4318920211168005,1.4654912312561645,2.2549133779636272,1.4742909795604646,2.9833201605360955,2.307128993794322,2.848081927187741,2.915701043861918,2.96979633720126,0.044929345850956086,0.04484037842799357,0.045106075439687775,0.044841583685186905,0.0450531770887876,0.045079626264237685,0.04510078560459776,0.04490661557416154,0.044822780163304404,0.04507153786278143,0.044825528696398796,0.0450223360295049,0.045046936946143167,0.04506661767945378,101.67810469594163,61.17055744258687,126.67199262860233,117.19176401663572,124.775946906209,125.72396976740566,126.48238805636299,1.1073638876744856,0.000399945769459,1.92941925348714,1.392272463766858,1.8219898955430835,1.8757045745151117,1.9186763176927344,100.57074080826715,59.77828497882001,126.67159268283284,115.26234476314858,124.38974309889599,125.53066789086441,126.44340772443915,1.1475494902891417,0.914856530027464,1.4738910337910056,1.0539009070489556,1.3898930084425956,1.4318920211168005,1.4654912312561645,99.42319131797801,58.86342844879255,125.19770164904185,114.20844385609962,122.9998500904534,124.09877586974763,124.977916493183,1.6981414519250393,0.9472586289048196,2.679877719841897,1.467288007028401,2.4373597772791977,2.5586187485605474,2.655625925585627,2236.0,1322,2820,2566.0,2769.2,2794.6,2814.92,2237.0,1323,2821,2567.0,2770.2,2795.6,2815.92,127.68,0.023496240601503758,52.059837092731826
custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_4_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,4,1.0,2,0.85,20480,39505.0,36569.28070175439,100.0,31.04861111111111,4,15328,10526,3832.0,2631.5,1.6867496449267492,0.9259946560487152,3.300907486816868,1.2600482184207067,2.755044366628863,3.0279759267228648,3.246321174798067,3.194574651424773,1.4819866965990514,5.981907224748284,2.6572023421758786,5.083904000697658,5.53290561272297,5.892106902343221,0.04532135913075101,0.04456914494536018,0.04595103685733402,0.04538262736015493,0.04579009721339906,0.04587056703536654,0.04593494289294052,0.045301175856514095,0.04455765509103036,0.04591585229618751,0.045365598019419265,0.0457605899785581,0.045838221137372806,0.04590032606442457,121.97230489068897,62.29194463859312,178.82105132285506,123.38811180065386,163.65857692081482,171.2398141218349,177.30480388265102,1.5078250064980239,0.0006229437422007,2.6809997379314154,1.6748386721592396,2.461648954730481,2.571324346330948,2.659064659611322,120.46447988419095,60.89209775486961,176.14005158492364,122.41288509848528,161.78169022114017,168.9608709030319,174.70421544854528,1.6867496449267492,0.9259946560487152,3.300907486816868,1.2600482184207067,2.755044366628863,3.0279759267228648,3.246321174798067,118.7777302392642,59.966103098820895,172.83914409810677,121.15283688006457,159.02664585451132,165.93289497630903,171.4578942737472,2.4970775245456025,1.3867513821460309,3.51220106636174,2.5446788248373196,3.315678018494509,3.4139395424281243,3.4925487615750166,2661.75,1322,3939,2693.0,3603.3,3771.1499999999996,3905.43,2662.75,1323,3940,2694.0,3604.3,3772.1499999999996,3906.43,180.41,0.022171719971176763,58.34488110415165
custom_sarathi_long_input_long_output_fixed_qps_num_requests_5_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_5_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,5,1.0,2,0.85,20480,39505.0,37211.37549518959,100.0,37.11063950198076,5,20402,16518,4080.4,3303.6,1.8357783804181964,0.9189371610991656,3.220981308957562,1.4283015220426023,2.970187529409304,3.095584419183433,3.195901931002736,3.888360087806359,1.4286996696610004,7.021597504150122,2.9064969206228852,6.54046333162114,6.781030417885631,6.9734840868972245,0.04512960124772748,0.04427064715054815,0.04618147790192901,0.04518072099605359,0.04579998525547016,0.04599073157869959,0.046143328637283126,0.045111956821570064,0.044263258858300056,0.046146116892815746,0.045164544583237244,0.04577166853284588,0.04595889271283081,0.04610867205681876,151.9918620223645,62.53307293378748,272.24704458308406,127.57327269064264,235.14996802737005,253.69850630522703,268.5373369275127,2.0525817073881627,0.000398147618398,4.4276006440632045,1.8898218707181516,3.695672691985965,4.061636668024584,4.35440784885548,149.93928031497634,61.185765823116526,267.81944393902086,127.57287454302424,231.4542953353841,249.63686963720247,264.1829290786572,1.8357783804181964,0.9189371610991656,3.220981308957562,1.4283015220426023,2.970187529409304,3.095584419183433,3.195901931002736,148.10350193455815,60.26682866201736,265.22544707893394,126.14457302098162,228.6095046957489,246.9174758873414,261.5638528406154,3.3866553051397204,1.577695693122223,4.406665596179664,3.913783069234341,4.3038619183935225,4.355263757286593,4.39638522840105,3336.0,1322,6033,2820.0,5195.400000000001,5614.2,5949.24,3337.0,1323,6034,2821.0,5196.400000000001,5615.2,5950.24,275.2,0.018168604651162792,60.0218023255814
custom_sarathi_long_input_long_output_fixed_qps_num_requests_6_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_6_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,6,1.0,2,0.85,20480,39505.0,37210.02824858757,100.0,38.88954802259887,6,28867,18785,4811.166666666667,3130.8333333333335,2.236154114943929,0.9047314398922026,4.051271795993671,1.8960189684294166,3.685572374961339,3.868422085477505,4.014701853890438,5.087354742611448,1.458697441732511,10.071680638473481,4.754409258835949,8.638433336280286,9.355056987376884,9.928355908254161,0.046353509961458365,0.04449206142580754,0.04792347200004334,0.04680772681048982,0.04754633652615367,0.0477349042630985,0.04788575845265437,0.046334911287319515,0.04448463618191138,0.047886777151651266,0.046788225280747615,0.04751954491988597,0.04770316103576862,0.04785005392847474,148.4810910455417,64.81987678376026,273.7571260361001,128.1979631721042,227.10993803548627,250.43353203579318,269.0924072360387,2.851200627667519,0.0005954038351774,6.02040884247981,2.419967500376515,5.445829488802701,5.733119165641256,5.962950907112099,145.62989041787418,63.44486239994876,268.8858759009745,127.24756634281948,223.2044445949141,246.0451602479443,264.3177327703685,2.236154114943929,0.9047314398922026,4.051271795993671,1.8960189684294166,3.685572374961339,3.868422085477505,4.014701853890438,143.39373630293025,62.54013096005656,266.551940002013,125.84401004237588,220.37754016846884,243.46474008524092,261.9345000186586,3.497032248453858,1.7500862847082317,4.999354185536504,3.8937623718520626,4.817793676164001,4.9085739308502525,4.9811981345992535,3169.3333333333335,1322,6033,2693.0,4986.0,5509.5,5928.3,3170.3333333333335,1323,6034,2694.0,4987.0,5510.5,5929.3,276.66,0.02168726957276079,67.89922648738523
custom_sarathi_long_input_long_output_fixed_qps_num_requests_7_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_7_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,7,1.0,2,0.85,20480,39505.0,37063.57457347276,100.0,39.28178315905338,7,36958,21343,5279.714285714285,3049.0,2.4350517809590593,0.915840929141268,4.029129480011761,2.3483157658483838,3.970615504216403,3.999872492114082,4.023278082432225,5.823177095668923,1.455474964575842,11.405277339741588,5.967283876845613,10.421007136022673,10.913142237882129,11.306850319369696,0.048194731753903174,0.04593652209848883,0.050036194767817226,0.04848434041839485,0.04938928034385915,0.04971273755583819,0.04997150332542142,0.0481754521018312,0.0459288557897274,0.04999788221439623,0.04846295341335806,0.04936242675010585,0.04968015448225104,0.04993433666796719,151.1135941961381,67.58679038472474,282.13037148001604,133.90617334493436,226.3959656273481,254.263168553682,276.5569308947492,3.3881253147098636,0.0002090437337756,7.47367115272209,2.644404954975471,6.430886973207817,6.952279062964951,7.369392734770662,147.72546888142824,66.21307510114275,277.55401965789497,126.43250219221228,222.97878192551434,250.26640079170457,272.09649588465686,2.4350517809590593,0.915840929141268,4.029129480011761,2.3483157658483838,3.970615504216403,3.999872492114082,4.023278082432225,145.29041710046917,65.29723417200148,275.2057038920466,124.69603634392844,220.04572826605295,247.62571607904968,269.6897063294472,4.083626400513042,2.2226986496243626,5.963708872208372,4.411037042737007,5.812500841589644,5.888104856899008,5.948588069146499,3091.4285714285716,1322,6033,2624.0,4776.6,5404.799999999998,5907.359999999999,3092.4285714285716,1323,6034,2625.0,4777.6,5405.799999999998,5908.359999999999,284.73,0.02458469427176623,74.95873283461525
custom_sarathi_long_input_long_output_fixed_qps_num_requests_8_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_8_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,8,1.0,2,0.85,20480,39505.0,37100.31848004374,100.0,39.357025697102245,8,40609,23413,5076.125,2926.625,2.3482134582300205,0.9088763629551976,3.995119387982413,2.113461276050657,3.9356298921629786,3.965374640072696,3.98917043840047,6.64593478362076,1.4507147506810725,12.99639979726635,6.359561812132597,11.780754138482735,12.388576967874542,12.874835231387987,0.049266073535251045,0.046317158672985664,0.05087955243835561,0.04971797930562981,0.05039749839547683,0.05063852541691622,0.050831347034067734,0.049245839626685176,0.04630942884009631,0.05084059412867846,0.04969708386570158,0.05037202219273696,0.050606308160707714,0.05079373693508431,149.04324614012148,68.67616025381722,284.31819850811735,134.00114709336776,219.89745297967454,252.10782574389592,277.87612395527304,4.297721325390739,0.0001894617453217,11.105298596201465,3.5496963396435603,8.416840206575579,9.76106940138852,10.836452757238876,144.74552481473074,67.30669229500927,279.8219189608935,129.41826887603384,216.7263899230631,248.27415444197828,273.51236605711046,2.3482134582300205,0.9088763629551976,3.995119387982413,2.113461276050657,3.9356298921629786,3.965374640072696,3.98917043840047,142.39731135650072,66.39781593205407,277.4860976098571,126.91559913905803,213.726906801993,245.606502205925,271.11017852907065,4.195647829066729,1.7372845725622028,6.330682698870078,4.005710788303986,6.280395111301914,6.305538905085996,6.325653940113261,2967.5,1322,6033,2595.0,4567.2,5300.0999999999985,5886.419999999999,2968.5,1323,6034,2596.0,4568.2,5301.0999999999985,5887.419999999999,286.98,0.027876507073663667,81.58408251446093
custom_sarathi_long_input_long_output_fixed_qps_num_requests_9_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_qps_num_requests_9_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_qps_num_requests_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,9,1.0,2,0.85,20480,39505.0,37266.50159066808,100.0,40.93027571580063,9,48865,25915,5429.444444444444,2879.4444444444443,2.65277455190921,0.9383360508363694,4.491437403019518,2.394564450951293,4.185531555768103,4.33848447939381,4.460846818294376,8.113169160852623,1.4955280737485734,17.466965072788298,7.121155177941546,14.360891084186733,15.913928078487514,17.15635767392814,0.05392969149632706,0.048928001345707496,0.05762607165598007,0.054521444229189614,0.055580006391598526,0.0566030390237893,0.05742146512954192,0.05390745894137097,0.048919835791410814,0.0575819475582343,0.05450192348295646,0.05555174849218153,0.056566848025207915,0.057378927651629025,160.51039273687638,77.55457024066709,300.2488112400752,150.1695603367407,225.0940868591424,262.6714490496088,292.7333388019819,5.460394608943413,0.0002027165610343,12.97552766976878,4.726590726990253,11.916505270730703,12.446016470249742,12.869625429864973,155.04999812793298,76.14035956189036,295.5222205130849,141.0136386170052,221.97072653551587,258.74647352430037,288.167071115328,2.65277455190921,0.9383360508363694,4.491437403019518,2.394564450951293,4.185531555768103,4.33848447939381,4.460846818294376,152.39722357602375,75.202023511054,293.1276560621336,138.3649455178529,218.77573695648465,255.9516965093091,285.6924641515687,4.837004622729081,2.4967043574433774,7.4471504711546,3.917999142082408,7.409055086504668,7.4281027788296345,7.443340932689607,2923.4444444444443,1322,6033,2571.0,4357.8,5195.4,5865.48,2924.4444444444443,1323,6034,2572.0,4358.8,5196.4,5866.48,302.82,0.02972062611452348,85.57889175087512
custom_sarathi_long_input_long_output_fixed_num_requests_num_requests_10_qps_1_llama2_7b,benchmark_output/figure-1/custom_sarathi_long_input_long_output_fixed_num_requests_num_requests_10_qps_1_llama2_7b,sarathi_chunk_128,sarathi,long_input_long_output,fixed_num_requests_qps_sweep,llama2_7b,meta-llama/Llama-2-7b-hf,10,1.0,2,0.85,20480,39505.0,37442.03267119707,100.0,42.090695243073704,10,58452,28312,5845.2,2831.2,2.872115839319304,0.9331246688961984,5.401681205024943,2.8269987480016425,4.474316722131334,4.937998963578138,5.308944756735582,9.3012124881614,1.4504909387324005,22.225495278602466,8.31523876474239,17.447819631407036,19.836657455004747,21.747727713882924,0.05682000012477517,0.05021451743982019,0.05881553277379615,0.057741268208370014,0.05874571285758178,0.058780622815688965,0.058808550782174715,0.05679660369487145,0.05020613717990032,0.05878711947293924,0.05771964490692533,0.058719552533415716,0.05875333600317748,0.05878036277898689,167.19363347354812,77.93244496663101,307.73760340199806,159.21443396667019,224.78834800850598,266.26297570525196,299.44267786264885,6.429096648842096,0.0001943865790963,16.823814073577523,5.144728776183911,12.973502909275702,14.898658491426609,16.438782957147343,160.764536824706,76.56597376684658,303.1633766388986,148.73955134209243,221.95629780795423,262.55983722342637,295.0426687558042,2.872115839319304,0.9331246688961984,5.401681205024943,2.8269987480016425,4.474316722131334,4.937998963578138,5.308944756735582,157.8924209853867,75.63284909795038,300.8351739819627,145.62738479906693,218.73026218709998,259.78271808453127,292.62468280247646,5.234990695980377,2.6603722255676985,8.427062776871026,4.507304772152565,8.21746785135474,8.322265314112883,8.406103284319396,2878.9,1322,6033,2568.5,4148.4,5090.699999999998,5844.54,2879.9,1323,6034,2569.5,4149.4,5091.699999999998,5845.54,312.35,0.03201536737634064,90.64190811589562
