"TP-2, PP-1, Dataset- Arxiv, 300 Requests",model,qps,chunk_size,dynamic_chunking,total_time_sec,,,,model,qps,chunk_size,dynamic_chunking,total_time_sec,,,VLLM,model,qps,total_time_sec
,llama,1,512,FALSE,584.76,,,,llama,1,,TRUE,611.65,,,,llama,1,649.91
,llama,5,512,FALSE,584.87,,,,llama,5,,TRUE,609.67,,,,llama,5,636.58
,llama,10,512,FALSE,591.79,,,,llama,10,,TRUE,611.5,,,,llama,10,648.05
,llama,15,512,FALSE,577.8,,,,llama,15,,TRUE,609.63,,,,llama,15,649.72
,llama,20,512,FALSE,589.8,,,,llama,20,,TRUE,613.91,,,,llama,20,648.75
,mistral,1,512,FALSE,426.55,,,,mistral,1,,TRUE,354.35,,,,mistral,1,402.69
,mistral,5,512,FALSE,424.05,,,,mistral,5,,TRUE,361.6,,,,mistral,5,402.54
,mistral,10,512,FALSE,425.42,,,,mistral,10,,TRUE,365.74,,,,mistral,10,401.54
,mistral,15,512,FALSE,423.08,,,,mistral,15,,TRUE,365.99,,,,mistral,15,399.6
,mistral,20,512,FALSE,422.3,,,,mistral,20,,TRUE,368.01,,,,mistral,20,402.94
,mixtral,1,512,FALSE,311.16,,,,mixtral,1,,TRUE,292.25,,,,mixtral,1,294.58
,mixtral,5,512,FALSE,317.49,,,,mixtral,5,,TRUE,100.37,,,,mixtral,5,94.23
,mixtral,10,512,FALSE,312.52,,,,mixtral,10,,TRUE,99.9,,,,mixtral,10,88.86
,mixtral,15,512,FALSE,311.94,,,,mixtral,15,,TRUE,101.77,,,,mixtral,15,88.01
,mixtral,20,512,FALSE,316.53,,,,mixtral,20,,TRUE,102.71,,,,mixtral,20,90.93
,qwen,1,512,FALSE,596.4,,,,qwen,1,,TRUE,613.98,,,,qwen,1,660.8
,qwen,5,512,FALSE,597.58,,,,qwen,5,,TRUE,613.22,,,,qwen,5,658.98
,qwen,10,512,FALSE,599.44,,,,qwen,10,,TRUE,619.56,,,,qwen,10,659.84
,qwen,15,512,FALSE,598.18,,,,qwen,15,,TRUE,623.93,,,,qwen,15,655.7
,qwen,20,512,FALSE,595.62,,,,qwen,20,,TRUE,620.72,,,,qwen,20,654.88
,yi,1,512,FALSE,382.15,,,,yi,1,,TRUE,310.09,,,,yi,1,330.4
,yi,5,512,FALSE,382.39,,,,yi,5,,TRUE,302.36,,,,yi,5,330.49
,yi,10,512,FALSE,378.56,,,,yi,10,,TRUE,298.93,,,,yi,10,320.74
,yi,15,512,FALSE,380.97,,,,yi,15,,TRUE,298.84,,,,yi,15,324.27
,yi,20,512,FALSE,372.33,,,,yi,20,,TRUE,296.05,,,,yi,20,326.52
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Model,Chunk Size,Inference,Requests,QPS,,,,,,,,,,,,,,,
llama,128,1222.12 s,300,1,,,,,,,,,,,,,,,
llama,256,709.48 s,300,1,,,,,,,,,,,,,,,
llama,512,590.98 s,300,1,,,,,,,,,,,,,,,
llama,1024,588.79 s,300,1,,,,,,,,,,,,,,,
llama,2048,607.08 s,300,1,,,,,,,,,,,,,,,
llama,3072,601.33 s,300,1,,,,,,,,,,,,,,,
llama,4096,615.49 s,300,1,,,,,,,,,,,,,,,
llama,128,1163.25 s,300,5,,,,,,,,,,,,,,,
llama,256,710.32 s,300,5,,,,,,,,,,,,,,,
llama,512,581.68 s,300,5,,,,,,,,,,,,,,,
llama,1024,600.47 s,300,5,,,,,,,,,,,,,,,
llama,2048,597.64 s,300,5,,,,,,,,,,,,,,,
llama,3072,613.49 s,300,5,,,,,,,,,,,,,,,
llama,4096,617.87 s,300,5,,,,,,,,,,,,,,,
llama,128,1170.23 s,300,10,,,,,,,,,,,,,,,
llama,256,710.78 s,300,10,,,,,,,,,,,,,,,
llama,512,592.34 s,300,10,,,,,,,,,,,,,,,
llama,1024,604.75 s,300,10,,,,,,,,,,,,,,,
llama,2048,597.90 s,300,10,,,,,,,,,,,,,,,
llama,3072,611.33 s,300,10,,,,,,,,,,,,,,,
llama,4096,612.89 s,300,10,,,,,,,,,,,,,,,
llama,128,1218.18 s,300,15,,,,,,,,,,,,,,,
llama,256,709.55 s,300,15,,,,,,,,,,,,,,,
llama,512,587.85 s,300,15,,,,,,,,,,,,,,,
llama,1024,588.54 s,300,15,,,,,,,,,,,,,,,
llama,2048,602.94 s,300,15,,,,,,,,,,,,,,,
