model_name,dataset,policy,inference_time
meta-llama/Llama-2-7b-hf,long_long,fcfs,7170.95
meta-llama/Llama-2-7b-hf,long_long,sjf,7177.90
meta-llama/Llama-2-7b-hf,long_long,ljf,7202.92
meta-llama/Llama-2-7b-hf,long_long,prompt_len_sjf,7305.63
meta-llama/Llama-2-7b-hf,long_long,prefill_aging_fairness,7201.47
meta-llama/Llama-2-7b-hf,long_long,vtc_fairness,7243.76
meta-llama/Llama-2-7b-hf,long_long,skip_join_mlfq,7277.83
meta-llama/Llama-2-7b-hf,long_long,least_laxity_first,7230.37
meta-llama/Llama-2-7b-hf,long_long,hybrid,7142.93
meta-llama/Llama-2-7b-hf,long_long,adaptive_io_aging,7272.97
meta-llama/Llama-2-7b-hf,long_short,fcfs,394.03
meta-llama/Llama-2-7b-hf,long_short,sjf,393.17
meta-llama/Llama-2-7b-hf,long_short,ljf,390.55
meta-llama/Llama-2-7b-hf,long_short,prompt_len_sjf,392.59
meta-llama/Llama-2-7b-hf,long_short,prefill_aging_fairness,395.36
meta-llama/Llama-2-7b-hf,long_short,vtc_fairness,394.55
meta-llama/Llama-2-7b-hf,long_short,skip_join_mlfq,389.85
meta-llama/Llama-2-7b-hf,long_short,least_laxity_first,395.01
meta-llama/Llama-2-7b-hf,long_short,hybrid,399.01
meta-llama/Llama-2-7b-hf,long_short,adaptive_io_aging,396.42
meta-llama/Llama-2-7b-hf,mixed,fcfs,2719.88
meta-llama/Llama-2-7b-hf,mixed,sjf,2712.48
meta-llama/Llama-2-7b-hf,mixed,ljf,2725.28
meta-llama/Llama-2-7b-hf,mixed,prompt_len_sjf,2774.81
meta-llama/Llama-2-7b-hf,mixed,prefill_aging_fairness,2704.48
meta-llama/Llama-2-7b-hf,mixed,vtc_fairness,2703.17
meta-llama/Llama-2-7b-hf,mixed,skip_join_mlfq,2703.13
meta-llama/Llama-2-7b-hf,mixed,least_laxity_first,2639.26
meta-llama/Llama-2-7b-hf,mixed,hybrid,2736.51
meta-llama/Llama-2-7b-hf,mixed,adaptive_io_aging,2712.53
meta-llama/Llama-2-7b-hf,short_long,fcfs,3117.33
meta-llama/Llama-2-7b-hf,short_long,sjf,3069.10
meta-llama/Llama-2-7b-hf,short_long,ljf,2959.69
meta-llama/Llama-2-7b-hf,short_long,prompt_len_sjf,3127.09
meta-llama/Llama-2-7b-hf,short_long,prefill_aging_fairness,3146.63
meta-llama/Llama-2-7b-hf,short_long,vtc_fairness,3071.81
meta-llama/Llama-2-7b-hf,short_long,skip_join_mlfq,3024.17
meta-llama/Llama-2-7b-hf,short_long,least_laxity_first,3166.59
meta-llama/Llama-2-7b-hf,short_long,hybrid,3023.36
meta-llama/Llama-2-7b-hf,short_long,adaptive_io_aging,3011.31
meta-llama/Llama-2-7b-hf,short_short,fcfs,105.61
meta-llama/Llama-2-7b-hf,short_short,sjf,107.76
meta-llama/Llama-2-7b-hf,short_short,ljf,106.99
meta-llama/Llama-2-7b-hf,short_short,prompt_len_sjf,105.19
meta-llama/Llama-2-7b-hf,short_short,prefill_aging_fairness,107.26
meta-llama/Llama-2-7b-hf,short_short,vtc_fairness,105.06
meta-llama/Llama-2-7b-hf,short_short,skip_join_mlfq,107.09
meta-llama/Llama-2-7b-hf,short_short,least_laxity_first,107.00
meta-llama/Llama-2-7b-hf,short_short,hybrid,105.80
meta-llama/Llama-2-7b-hf,short_short,adaptive_io_aging,107.34
01-ai/Yi-6B,long_long,fcfs,1960.01
01-ai/Yi-6B,long_long,sjf,1992.33
01-ai/Yi-6B,long_long,ljf,1982.89
01-ai/Yi-6B,long_long,prompt_len_sjf,2000.47
01-ai/Yi-6B,long_long,prefill_aging_fairness,1934.04
01-ai/Yi-6B,long_long,vtc_fairness,1992.45
01-ai/Yi-6B,long_long,skip_join_mlfq,1982.58
01-ai/Yi-6B,long_long,least_laxity_first,2012.11
01-ai/Yi-6B,long_long,hybrid,1996.98
01-ai/Yi-6B,long_long,adaptive_io_aging,1982.02
01-ai/Yi-6B,long_short,fcfs,253.55
01-ai/Yi-6B,long_short,sjf,252.07
01-ai/Yi-6B,long_short,ljf,253.02
01-ai/Yi-6B,long_short,prompt_len_sjf,255.42
01-ai/Yi-6B,long_short,prefill_aging_fairness,247.79
01-ai/Yi-6B,long_short,vtc_fairness,246.92
01-ai/Yi-6B,long_short,skip_join_mlfq,252.18
01-ai/Yi-6B,long_short,least_laxity_first,253.11
01-ai/Yi-6B,long_short,hybrid,250.67
01-ai/Yi-6B,long_short,adaptive_io_aging,251.32
01-ai/Yi-6B,mixed,fcfs,946.47
01-ai/Yi-6B,mixed,sjf,928.01
01-ai/Yi-6B,mixed,ljf,953.70
01-ai/Yi-6B,mixed,prompt_len_sjf,892.87
01-ai/Yi-6B,mixed,prefill_aging_fairness,951.48
01-ai/Yi-6B,mixed,vtc_fairness,931.22
01-ai/Yi-6B,mixed,skip_join_mlfq,926.38
01-ai/Yi-6B,mixed,least_laxity_first,929.46
01-ai/Yi-6B,mixed,hybrid,956.03
01-ai/Yi-6B,mixed,adaptive_io_aging,858.12
01-ai/Yi-6B,short_long,fcfs,1115.49
01-ai/Yi-6B,short_long,sjf,1098.61
01-ai/Yi-6B,short_long,ljf,1104.97
01-ai/Yi-6B,short_long,prompt_len_sjf,1098.93
01-ai/Yi-6B,short_long,prefill_aging_fairness,1084.22
01-ai/Yi-6B,short_long,vtc_fairness,1080.79
01-ai/Yi-6B,short_long,skip_join_mlfq,1112.18
01-ai/Yi-6B,short_long,least_laxity_first,1083.07
01-ai/Yi-6B,short_long,hybrid,1084.56
01-ai/Yi-6B,short_long,adaptive_io_aging,1092.70
01-ai/Yi-6B,short_short,fcfs,107.14
01-ai/Yi-6B,short_short,sjf,106.95
01-ai/Yi-6B,short_short,ljf,106.66
01-ai/Yi-6B,short_short,prompt_len_sjf,106.66
01-ai/Yi-6B,short_short,prefill_aging_fairness,106.57
01-ai/Yi-6B,short_short,vtc_fairness,107.11
01-ai/Yi-6B,short_short,skip_join_mlfq,106.91
01-ai/Yi-6B,short_short,least_laxity_first,107.05
01-ai/Yi-6B,short_short,hybrid,106.57
01-ai/Yi-6B,short_short,adaptive_io_aging,106.66
DiscoResearch/mixtral-7b-8expert,long_long,fcfs,1344.84
DiscoResearch/mixtral-7b-8expert,long_long,sjf,1300.28
DiscoResearch/mixtral-7b-8expert,long_long,ljf,1354.61
DiscoResearch/mixtral-7b-8expert,long_long,prompt_len_sjf,1290.95
DiscoResearch/mixtral-7b-8expert,long_long,prefill_aging_fairness,1312.82
DiscoResearch/mixtral-7b-8expert,long_long,vtc_fairness,1335.01
DiscoResearch/mixtral-7b-8expert,long_long,skip_join_mlfq,1345.69
DiscoResearch/mixtral-7b-8expert,long_long,least_laxity_first,1319.06
DiscoResearch/mixtral-7b-8expert,long_long,hybrid,1326.86
DiscoResearch/mixtral-7b-8expert,long_long,adaptive_io_aging,1339.55
DiscoResearch/mixtral-7b-8expert,long_short,fcfs,209.36
DiscoResearch/mixtral-7b-8expert,long_short,sjf,212.91
DiscoResearch/mixtral-7b-8expert,long_short,ljf,214.77
DiscoResearch/mixtral-7b-8expert,long_short,prompt_len_sjf,208.13
DiscoResearch/mixtral-7b-8expert,long_short,prefill_aging_fairness,211.82
DiscoResearch/mixtral-7b-8expert,long_short,vtc_fairness,210.10
DiscoResearch/mixtral-7b-8expert,long_short,skip_join_mlfq,204.17
DiscoResearch/mixtral-7b-8expert,long_short,least_laxity_first,212.48
DiscoResearch/mixtral-7b-8expert,long_short,hybrid,218.27
DiscoResearch/mixtral-7b-8expert,long_short,adaptive_io_aging,215.18
DiscoResearch/mixtral-7b-8expert,mixed,fcfs,819.36
DiscoResearch/mixtral-7b-8expert,mixed,sjf,808.82
DiscoResearch/mixtral-7b-8expert,mixed,ljf,805.11
DiscoResearch/mixtral-7b-8expert,mixed,prompt_len_sjf,770.14
DiscoResearch/mixtral-7b-8expert,mixed,prefill_aging_fairness,824.80
DiscoResearch/mixtral-7b-8expert,mixed,vtc_fairness,768.77
DiscoResearch/mixtral-7b-8expert,mixed,skip_join_mlfq,805.20
DiscoResearch/mixtral-7b-8expert,mixed,least_laxity_first,812.54
DiscoResearch/mixtral-7b-8expert,mixed,hybrid,775.76
DiscoResearch/mixtral-7b-8expert,mixed,adaptive_io_aging,819.12
DiscoResearch/mixtral-7b-8expert,short_long,fcfs,974.84
DiscoResearch/mixtral-7b-8expert,short_long,sjf,993.20
DiscoResearch/mixtral-7b-8expert,short_long,ljf,946.65
DiscoResearch/mixtral-7b-8expert,short_long,prompt_len_sjf,989.11
DiscoResearch/mixtral-7b-8expert,short_long,prefill_aging_fairness,973.74
DiscoResearch/mixtral-7b-8expert,short_long,vtc_fairness,984.85
DiscoResearch/mixtral-7b-8expert,short_long,skip_join_mlfq,1003.86
DiscoResearch/mixtral-7b-8expert,short_long,least_laxity_first,985.28
DiscoResearch/mixtral-7b-8expert,short_long,hybrid,992.78
DiscoResearch/mixtral-7b-8expert,short_long,adaptive_io_aging,976.79
DiscoResearch/mixtral-7b-8expert,short_short,fcfs,105.62
DiscoResearch/mixtral-7b-8expert,short_short,sjf,105.86
DiscoResearch/mixtral-7b-8expert,short_short,ljf,105.81
DiscoResearch/mixtral-7b-8expert,short_short,prompt_len_sjf,105.92
DiscoResearch/mixtral-7b-8expert,short_short,prefill_aging_fairness,106.06
DiscoResearch/mixtral-7b-8expert,short_short,vtc_fairness,105.61
DiscoResearch/mixtral-7b-8expert,short_short,skip_join_mlfq,106.16
DiscoResearch/mixtral-7b-8expert,short_short,least_laxity_first,105.25
DiscoResearch/mixtral-7b-8expert,short_short,hybrid,104.04
DiscoResearch/mixtral-7b-8expert,short_short,adaptive_io_aging,106.14
