Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
ShareGPT,llama,128,431.79 s,300,Poisson 1 QPS
ShareGPT,llama,256,340.16 s,300,Poisson 1 QPS
ShareGPT,llama,512,340.48 s,300,Poisson 1 QPS
ShareGPT,llama,1024,346.33 s,300,Poisson 1 QPS
ShareGPT,llama,2048,345.41 s,300,Poisson 1 QPS
ShareGPT,llama,3072,344.79 s,300,Poisson 1 QPS
ShareGPT,llama,4096,348.33 s,300,Poisson 1 QPS
ShareGPT,llama,128,458.58 s,300,Poisson 5 QPS
ShareGPT,llama,256,336.28 s,300,Poisson 5 QPS
ShareGPT,llama,512,321.62 s,300,Poisson 5 QPS
ShareGPT,llama,1024,327.63 s,300,Poisson 5 QPS
ShareGPT,llama,2048,335.30 s,300,Poisson 5 QPS
ShareGPT,llama,3072,333.30 s,300,Poisson 5 QPS
ShareGPT,llama,4096,336.90 s,300,Poisson 5 QPS
ShareGPT,llama,128,454.14 s,300,Poisson 10 QPS
ShareGPT,llama,256,336.07 s,300,Poisson 10 QPS
ShareGPT,llama,512,327.16 s,300,Poisson 10 QPS
ShareGPT,llama,1024,330.86 s,300,Poisson 10 QPS
ShareGPT,llama,2048,333.63 s,300,Poisson 10 QPS
ShareGPT,llama,3072,330.50 s,300,Poisson 10 QPS
ShareGPT,llama,4096,333.13 s,300,Poisson 10 QPS
ShareGPT,llama,128,445.42 s,300,Poisson 15 QPS
ShareGPT,llama,256,334.41 s,300,Poisson 15 QPS
ShareGPT,llama,512,319.53 s,300,Poisson 15 QPS
ShareGPT,llama,1024,324.33 s,300,Poisson 15 QPS
ShareGPT,llama,2048,333.03 s,300,Poisson 15 QPS
ShareGPT,llama,3072,331.67 s,300,Poisson 15 QPS
ShareGPT,llama,4096,333.44 s,300,Poisson 15 QPS
ShareGPT,llama,128,450.28 s,300,Poisson 20 QPS
ShareGPT,llama,256,327.58 s,300,Poisson 20 QPS
ShareGPT,llama,512,313.38 s,300,Poisson 20 QPS
ShareGPT,llama,1024,332.80 s,300,Poisson 20 QPS
ShareGPT,llama,2048,327.94 s,300,Poisson 20 QPS
ShareGPT,llama,3072,330.97 s,300,Poisson 20 QPS
ShareGPT,llama,4096,337.91 s,300,Poisson 20 QPS
ShareGPT,mistral,128,400.52 s,300,Poisson 1 QPS
ShareGPT,mistral,256,312.41 s,300,Poisson 1 QPS
ShareGPT,mistral,512,310.91 s,300,Poisson 1 QPS
ShareGPT,mistral,1024,312.03 s,300,Poisson 1 QPS
ShareGPT,mistral,2048,313.11 s,300,Poisson 1 QPS
ShareGPT,mistral,3072,313.87 s,300,Poisson 1 QPS
ShareGPT,mistral,4096,315.06 s,300,Poisson 1 QPS
