Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
Arxiv,llama,128,1222.12 s,300,Poisson 1 QPS
Arxiv,llama,256,709.48 s,300,Poisson 1 QPS
Arxiv,llama,512,590.98 s,300,Poisson 1 QPS
Arxiv,llama,1024,588.79 s,300,Poisson 1 QPS
Arxiv,llama,2048,607.08 s,300,Poisson 1 QPS
Arxiv,llama,3072,601.33 s,300,Poisson 1 QPS
Arxiv,llama,4096,615.49 s,300,Poisson 1 QPS
Arxiv,llama,128,1163.25 s,300,Poisson 5 QPS
Arxiv,llama,256,710.32 s,300,Poisson 5 QPS
Arxiv,llama,512,581.68 s,300,Poisson 5 QPS
Arxiv,llama,1024,600.47 s,300,Poisson 5 QPS
Arxiv,llama,2048,597.64 s,300,Poisson 5 QPS
Arxiv,llama,3072,613.49 s,300,Poisson 5 QPS
Arxiv,llama,4096,617.87 s,300,Poisson 5 QPS
Arxiv,llama,128,1170.23 s,300,Poisson 10 QPS
Arxiv,llama,256,710.78 s,300,Poisson 10 QPS
Arxiv,llama,512,592.34 s,300,Poisson 10 QPS
Arxiv,llama,1024,604.75 s,300,Poisson 10 QPS
Arxiv,llama,2048,597.90 s,300,Poisson 10 QPS
Arxiv,llama,3072,611.33 s,300,Poisson 10 QPS
Arxiv,llama,4096,612.89 s,300,Poisson 10 QPS
Arxiv,llama,128,1218.18 s,300,Poisson 15 QPS
Arxiv,llama,256,709.55 s,300,Poisson 15 QPS
Arxiv,llama,512,587.85 s,300,Poisson 15 QPS
Arxiv,llama,1024,588.54 s,300,Poisson 15 QPS
Arxiv,llama,2048,602.94 s,300,Poisson 15 QPS
Arxiv,llama,3072,609.93 s,300,Poisson 15 QPS
Arxiv,llama,4096,618.89 s,300,Poisson 15 QPS
Arxiv,llama,128,1196.46 s,300,Poisson 20 QPS
Arxiv,llama,256,709.26 s,300,Poisson 20 QPS
Arxiv,llama,512,590.65 s,300,Poisson 20 QPS
Arxiv,llama,1024,600.49 s,300,Poisson 20 QPS
Arxiv,llama,2048,604.00 s,300,Poisson 20 QPS
Arxiv,llama,3072,614.48 s,300,Poisson 20 QPS
Arxiv,llama,4096,618.12 s,300,Poisson 20 QPS
Arxiv,mistral,128,1142.89 s,300,Poisson 1 QPS
Arxiv,mistral,256,597.45 s,300,Poisson 1 QPS
Arxiv,mistral,512,421.48 s,300,Poisson 1 QPS
Arxiv,mistral,1024,379.37 s,300,Poisson 1 QPS
Arxiv,mistral,2048,353.69 s,300,Poisson 1 QPS
Arxiv,mistral,3072,361.53 s,300,Poisson 1 QPS
Arxiv,mistral,4096,365.30 s,300,Poisson 1 QPS
Arxiv,mistral,128,1139.73 s,300,Poisson 5 QPS
Arxiv,mistral,256,587.08 s,300,Poisson 5 QPS
Arxiv,mistral,512,424.71 s,300,Poisson 5 QPS
Arxiv,mistral,1024,380.22 s,300,Poisson 5 QPS
Arxiv,mistral,2048,358.61 s,300,Poisson 5 QPS
Arxiv,mistral,3072,357.44 s,300,Poisson 5 QPS
Arxiv,mistral,4096,360.69 s,300,Poisson 5 QPS
Arxiv,mistral,128,1139.70 s,300,Poisson 10 QPS
Arxiv,mistral,256,602.40 s,300,Poisson 10 QPS
Arxiv,mistral,512,422.10 s,300,Poisson 10 QPS
Arxiv,mistral,1024,381.50 s,300,Poisson 10 QPS
Arxiv,mistral,2048,359.78 s,300,Poisson 10 QPS
Arxiv,mistral,3072,365.64 s,300,Poisson 10 QPS
Arxiv,mistral,4096,366.24 s,300,Poisson 10 QPS
Arxiv,mistral,128,1151.73 s,300,Poisson 15 QPS
Arxiv,mistral,256,595.99 s,300,Poisson 15 QPS
Arxiv,mistral,512,422.77 s,300,Poisson 15 QPS
Arxiv,mistral,1024,380.78 s,300,Poisson 15 QPS
Arxiv,mistral,2048,363.05 s,300,Poisson 15 QPS
Arxiv,mistral,3072,364.75 s,300,Poisson 15 QPS
Arxiv,mistral,4096,362.32 s,300,Poisson 15 QPS
Arxiv,mistral,128,1150.05 s,300,Poisson 20 QPS
Arxiv,mistral,256,590.93 s,300,Poisson 20 QPS
Arxiv,mistral,512,421.99 s,300,Poisson 20 QPS
Arxiv,mistral,1024,374.49 s,300,Poisson 20 QPS
Arxiv,mistral,2048,358.84 s,300,Poisson 20 QPS
Arxiv,mistral,3072,360.79 s,300,Poisson 20 QPS
Arxiv,mistral,4096,359.76 s,300,Poisson 20 QPS
Arxiv,mixtral,128,1069.40 s,300,Poisson 1 QPS
Arxiv,mixtral,256,567.43 s,300,Poisson 1 QPS
Arxiv,mixtral,512,314.49 s,300,Poisson 1 QPS
Arxiv,mixtral,1024,293.58 s,300,Poisson 1 QPS
Arxiv,mixtral,2048,291.04 s,300,Poisson 1 QPS
Arxiv,mixtral,3072,291.60 s,300,Poisson 1 QPS
Arxiv,mixtral,4096,291.12 s,300,Poisson 1 QPS
Arxiv,mixtral,128,1057.96 s,300,Poisson 5 QPS
