model,qps,chunk_size,dynamic_chunking,total_time_sec
llama,1,512,True,611.65
llama,5,512,True,609.67
llama,10,512,True,611.5
llama,15,512,True,609.63
llama,20,512,True,613.91
mistral,1,512,True,354.35
mistral,5,512,True,361.6
mistral,10,512,True,365.74
mistral,15,512,True,365.99
mistral,20,512,True,368.01
mixtral,1,512,True,292.25
mixtral,5,512,True,100.37
mixtral,10,512,True,99.9
mixtral,15,512,True,101.77
mixtral,20,512,True,102.71
qwen,1,512,True,613.98
qwen,5,512,True,613.22
qwen,10,512,True,619.56
qwen,15,512,True,623.93
qwen,20,512,True,620.72
yi,1,512,True,310.09
yi,5,512,True,302.36
yi,10,512,True,298.93
yi,15,512,True,298.84
yi,20,512,True,296.05
