model,qps,chunk_size,dynamic_chunking,total_time_sec
llama,1,512,False,584.76
llama,5,512,False,584.87
llama,10,512,False,591.79
llama,15,512,False,577.8
llama,20,512,False,589.8
mistral,1,512,False,426.55
mistral,5,512,False,424.05
mistral,10,512,False,425.42
mistral,15,512,False,423.08
mistral,20,512,False,422.3
mixtral,1,512,False,311.16
mixtral,5,512,False,317.49
mixtral,10,512,False,312.52
mixtral,15,512,False,311.94
mixtral,20,512,False,316.53
qwen,1,512,False,596.4
qwen,5,512,False,597.58
qwen,10,512,False,599.44
qwen,15,512,False,598.18
qwen,20,512,False,595.62
yi,1,512,False,382.15
yi,5,512,False,382.39
yi,10,512,False,378.56
yi,15,512,False,380.97
yi,20,512,False,372.33
