prefill_length,chunk_size,prefill_execution_time,prefill_execution_time_relative
16383,1024,5700.148383807391,1.0209740257370024
2047,1024,677.6535459794104,0.9988117729459132
4095,1024,1334.3562216730788,1.0127525426474353
8191,1024,2693.1746838148683,1.0129808593149143
16383,2048,5583.049362781458,1.0
2047,2048,678.459710162133,1.0
4095,2048,1317.5540573662147,1.0
8191,2048,2658.6629540426657,1.0
16383,512,6192.042081919499,1.1090788706253965
2047,512,750.3964986419303,1.1060295657978076
4095,512,1475.3187038935716,1.1197405492741055
8191,512,2962.7825033152476,1.1143881546963856
