model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
llama,128,1,800.56,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_1_qps_llama
llama,256,1,610.19,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_1_qps_llama
llama,512,1,582.03,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_1_qps_llama
llama,1024,1,618.28,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_1_qps_llama
llama,2048,1,654.71,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_1_qps_llama
llama,3072,1,659.71,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_1_qps_llama
llama,4096,1,681.58,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_1_qps_llama
llama,128,5,795.50,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_5_qps_llama
llama,256,5,596.79,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_5_qps_llama
llama,512,5,591.91,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_5_qps_llama
llama,1024,5,616.80,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_5_qps_llama
llama,2048,5,662.50,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_5_qps_llama
llama,3072,5,663.35,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_5_qps_llama
llama,4096,5,687.74,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_5_qps_llama
llama,128,10,800.51,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_10_qps_llama
llama,256,10,596.58,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_10_qps_llama
llama,512,10,596.44,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_10_qps_llama
llama,1024,10,614.40,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_10_qps_llama
llama,2048,10,655.11,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_llama
llama,3072,10,650.98,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_llama
llama,4096,10,685.36,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_llama
llama,128,15,797.02,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_llama
llama,256,15,596.71,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_llama
llama,512,15,586.53,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_llama
llama,1024,15,614.47,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_llama
llama,2048,15,657.86,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_llama
llama,3072,15,655.18,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_llama
llama,4096,15,675.61,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_llama
