model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
llama,128,1,800.56,500.74563552961564,0.08584276531279365,517.2651452238584,0.374737683621465,3351.8074847606676,83.09058658938743,493.2622523396252,0,39858.0
llama,256,1,610.19,310.3863602493406,0.1026521316991762,332.8385423561034,0.49165014175912414,4397.520444451728,109.0135859322506,306.57519316602963,0,39934.0
llama,512,1,582.03,282.4875577665312,0.11741130749708449,305.5453296523739,0.5154373485902789,4610.282975104376,114.28792330292254,279.3763226493547,0,40056.0
llama,1024,1,618.28,316.9961489371193,0.13235101344734657,342.0671893613459,0.4852170537620496,4339.980267839814,107.58717733065926,314.45802090049426,0,39904.0
llama,2048,1,654.71,352.6460638174967,0.1510022912982633,377.6450077267649,0.4582181423836508,4098.49093491775,101.60070871072688,350.7605989355443,0,39878.0
llama,3072,1,659.71,357.77481694516024,0.1580909537052562,383.0255759540206,0.45474526685968075,4067.428112352397,100.830668020797,355.85991284889343,0,39928.0
llama,4096,1,681.58,381.16014904901675,0.16097692408497802,405.3230871939962,0.4401537603802928,3936.915695883095,97.59529328912232,379.4237710471829,0,39914.0
llama,128,5,795.50,722.9991954305535,0.08611821471380068,739.07681997101,0.3771213073538655,3373.1275927089882,83.61910747957259,715.5107167515071,0,39858.0
llama,256,5,596.79,523.8617264928727,0.10132021346337039,544.8171264862764,0.5026893882270146,4496.259990951591,111.46131805157594,520.1645634907303,0,39934.0
llama,512,5,591.91,519.3829394604713,0.11663690544251057,539.6052327451191,0.5068338091939654,4533.329391292596,112.38026051257793,515.5030351517227,0,40056.0
llama,1024,5,616.80,541.9766491202276,0.13447031954080674,564.6008660136815,0.4863813229571985,4350.3939688715955,107.84533073929961,539.4227422267489,0,39904.0
llama,2048,5,662.50,588.2220200037781,0.15202406337572377,611.2001408544509,0.4528301886792453,4050.298867924528,100.40603773584905,586.3661585155246,0,39878.0
llama,3072,5,663.35,587.9142868744046,0.1587466495292329,611.0098073675658,0.4522499434687571,4045.1089168613853,100.2773799653275,585.998888840737,0,39928.0
llama,4096,5,687.74,613.3090229592525,0.16280067635047113,635.1684950095473,0.4362113589437869,3901.653241050397,96.72114461860586,611.5731425296591,0,39914.0
llama,128,10,800.51,756.9913511087844,0.08800116100699522,773.2863758589833,0.37476108980524914,3352.0168392649684,83.0957764425179,749.550723731931,0,39858.0
llama,256,10,596.58,552.56189794356,0.10098245266614651,572.8905508656497,0.5028663381273257,4497.842703409434,111.50055315297193,548.8532984328258,0,39934.0
llama,512,10,596.44,552.1879460619087,0.11854909460661234,572.9790386238095,0.5029843739521158,4498.898464221044,111.52672523640264,548.3007471927389,0,40056.0
llama,1024,10,614.40,567.8421175664116,0.1321202821778447,590.4393222931435,0.48828125,4367.3876953125,108.2666015625,565.2596432382718,0,39904.0
llama,2048,10,655.11,609.2113114078156,0.15160488291898724,631.8062199344062,0.45793836149654255,4095.98845995329,101.53867289462838,607.3344821592536,0,39878.0
llama,3072,10,650.98,604.5666286640108,0.1567287395501922,626.8196352809982,0.4608436511106332,4121.974561430458,102.1828627607607,602.6655417771287,0,39928.0
llama,4096,10,685.36,640.2311240612325,0.16195091640557005,661.9955035189784,0.4377261585152329,3915.202229485234,97.05702112758259,638.5060992231947,0,39914.0
llama,128,15,797.02,762.1106253941962,0.08760031222099086,777.938395536064,0.3764020978143585,3366.694687711726,83.45963714837771,754.7108839983393,0,39858.0
llama,256,15,596.71,562.0264985011046,0.10185737222726118,582.184178882499,0.5027567830269309,4496.862797673912,111.4762615005614,558.2683004405781,0,39934.0
llama,512,15,586.53,551.9439283451019,0.11533761152720563,572.5384839891369,0.5114827886041635,4574.911769218966,113.41107871720118,548.0675200434483,0,40056.0
llama,1024,15,614.47,578.0138368105474,0.13408102922432774,600.5557047862286,0.4882256253356551,4366.8901655084865,108.25426790567481,575.4472143244603,0,39904.0
llama,2048,15,657.86,621.2992783006059,0.1515450590547402,643.8262335846928,0.45602407807132217,4078.8663241419144,101.11421883075427,619.4306779749994,0,39878.0
llama,3072,15,655.18,619.0592559912975,0.15890503008682377,641.1491448275285,0.4578894349644373,4095.5508409902627,101.52782441466468,617.1519037938111,0,39928.0
llama,4096,15,675.61,639.7031687170442,0.16014599763167697,661.0265594657138,0.4440431609952487,3971.704089637513,98.45769008747651,637.9779630302189,0,39914.0
llama,128,20,797.76,768.3718825827317,0.08553719426309754,784.1686588371248,0.3760529482551143,3363.571750902527,83.3822202166065,760.8851381521614,0,39858.0
llama,256,20,604.38,573.6939200115803,0.1037704897856884,594.3948625918123,0.49637645190112184,4439.794500148913,110.06155068003574,569.875820971859,0,39934.0
llama,512,20,590.62,559.7279612834973,0.12047407022127896,580.0653452891839,0.5079408079645119,4543.23084216586,112.62571534997122,555.7471161716292,0,40056.0
llama,1024,20,615.53,582.6877732308599,0.13210849370067074,604.961635625143,0.4873848553279288,4359.36997384368,108.06784397186165,580.1141393983532,0,39904.0
llama,2048,20,652.81,620.6382235158421,0.1513049674308959,643.1330908356956,0.4595517838268409,4110.419570778634,101.89641702792544,618.7757335918583,0,39878.0
llama,3072,20,656.89,624.9027968397719,0.15660054823263153,647.1705405694787,0.45669746837370034,4084.889403096409,101.26352966250057,622.9927662238723,0,39928.0
llama,4096,20,674.50,643.4109538181679,0.1610666835742079,665.0000568206143,0.4447739065974796,3978.2401779095626,98.61971830985915,641.6880711325182,0,39914.0
mistral,128,1,594.23,300.2449752187851,0.060167698310955385,313.3144912297762,0.5048550224660485,4515.630311495549,111.94150413139693,294.9008935876179,0,39888.0
mistral,256,1,378.91,85.07541317570721,0.07474165328121694,105.34486038132103,0.7917447414953418,7081.68958327835,175.55356153176214,81.86252208093121,0,39982.0
mistral,512,1,304.07,16.709365974101818,0.11594588781454755,59.01101901157816,0.9866149241950867,8824.688394119776,218.76212714177657,14.73254912978562,0,39986.0
mistral,1024,1,306.18,9.162486484153193,0.20738957747589737,87.53531219277063,0.9798157946306094,8763.874191651968,217.25455614344503,7.337662275255423,0,39902.0
mistral,2048,1,313.40,20.623849492075387,0.28177930117213335,117.6155445134558,0.9572431397574985,8561.975111678366,212.24952137843013,19.045085937927357,0,39882.0
mistral,3072,1,320.17,26.232716541793195,0.31171522993753537,121.2123108606564,0.9370022175719148,8380.932004872411,207.7615017022207,24.855713119508,0,39890.0
mistral,4096,1,329.55,28.477436009112274,0.3305949071371075,127.03486451468191,0.9103322712790168,8142.385070550751,201.8479745106964,27.40702084041666,0,39898.0
mistral,128,5,597.30,530.4320382517134,0.060446717446867367,541.9639162632718,0.5022601707684581,4492.420894023105,111.36614766449021,525.0720761509932,0,39888.0
mistral,256,5,375.92,308.28514215271514,0.07459775204556374,322.6320906635554,0.7980421366248137,7138.016067248351,176.94988295381995,305.0243053630169,0,39982.0
mistral,512,5,297.35,228.25779023729612,0.11702507071079846,246.73496942723924,1.008912056499075,9024.123087270893,223.70607028753992,225.47060069116299,0,39984.0
mistral,1024,5,302.02,227.75541568678224,0.2215097021993648,253.72089464286748,0.9933117012118403,8884.587113436197,220.24700350970136,224.8935727182665,0,39902.0
mistral,2048,5,313.59,236.5731619938149,0.29016694543417154,266.3064581834583,0.9566631589017508,8556.787525112408,212.1209222232852,234.70835485890916,0,39882.0
mistral,3072,5,314.71,237.69255330990998,0.31301149005447015,267.3658609372156,0.9532585554955356,8526.335356359823,211.36601951002513,235.88811551040504,0,39890.0
mistral,4096,5,323.89,246.7723956434516,0.33692927762493813,277.35335342233185,0.9262403902559512,8284.673809009231,205.37528173145205,245.6878788990702,0,39898.0
mistral,128,10,598.40,559.4013686764706,0.06129496153684265,571.2280317040055,0.5013368983957219,4484.162767379679,111.16143048128343,553.9878478097694,0,39888.0
mistral,256,10,372.42,334.80844752024274,0.0734845299115234,348.71849646967775,0.8055421298533914,7205.099081681971,178.61285645239246,331.5702999053634,0,39982.0
mistral,512,10,292.72,251.2592510069272,0.11449551594966899,269.006934149735,1.0248701831101392,9166.85911451216,227.2444657010112,248.48437035176553,0,39984.0
