model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
llama,1,912.68,607.4362540366163,0.19957739154232246,635.2096027919162,0.32870228338519525,2940.0479905333746,72.88315729499935,605.6291632442293,0,42718.0
llama,5,910.44,833.8116507897596,0.19982014609252582,858.7458808814292,0.3295110056675893,2947.2815342032422,73.06247528667457,831.6204258703103,0,42718.0
llama,10,936.03,886.2679100160452,0.2054032319808343,912.2494448572478,0.32050254799525657,2866.706195314253,71.06502996698823,884.1691783590778,0,42718.0
llama,15,912.85,873.4864070381865,0.1997075063954455,898.9920872752148,0.32864106917894503,2939.500465574848,72.8695842690475,871.2903385882103,0,42718.0
llama,20,912.75,878.3294642117969,0.19999827016087177,903.628616322662,0.3286770747740345,2939.822514379622,72.87756778964668,876.1395910972345,0,42718.0
mistral,1,487.27,173.69922282770972,0.4898604694879387,271.03435450532237,0.6156750877337,5506.850411476184,136.5136372031933,171.54188835410747,0,44224.0
mistral,5,487.56,399.7100702654768,0.5299336249418735,438.79676877342627,0.6153088850603002,5503.574944622201,136.43243908442037,397.53326613964396,0,44224.0
mistral,10,482.72,425.99188272733005,0.5271935323560628,462.08894614953897,0.6214782896917468,5558.7566291017565,137.800381173351,423.8366410934983,0,44224.0
mistral,15,482.41,433.46225814645294,0.5211257482364245,469.4599196636246,0.6218776559358222,5562.3287245289275,137.88893265064985,431.3003350088954,0,44224.0
mistral,20,482.25,438.00945586270535,0.5182385059313239,473.08930473515994,0.6220839813374806,5564.174183514774,137.93468118195958,435.8508206861093,0,44224.0
mixtral,1,289.31,5.372158472347072,0.058166237134873795,24.038642912146166,1.0369499844457502,9274.905810376413,229.9229200511562,4.944605519078903,0,41258.0
mixtral,5,100.18,7.284346691085957,0.3197922016145068,93.82991549446363,2.994609702535436,26785.01696945498,663.9948093431823,6.8292849128565285,0,41260.0
mixtral,10,96.94,31.345322002673054,0.4634783277851915,98.23455891838064,3.0946977511863007,27680.24551268826,686.1873323705385,31.048524915194136,0,41260.0
mixtral,15,95.22,39.67942576280562,0.456459904266037,96.5104392307368,3.15059861373661,28180.24574669187,698.5822306238185,39.38360147229745,0,41260.0
mixtral,20,95.91,45.5657493581262,0.4609808770892912,97.80954742281116,3.127932436659368,27977.51016578042,693.5564591804817,45.26759552033152,0,41260.0
qwen,1,929.68,622.6320993754815,0.1931545798616445,652.7825602685532,0.3226916788572412,2886.286679287497,71.5504259530161,620.5066186330816,0,42686.0
qwen,5,929.49,849.3783124868839,0.1928877267554723,877.2495887613622,0.32275764128715745,2886.8766743052643,71.56505180260143,847.2540988027501,0,42686.0
qwen,10,927.33,876.1124289045728,0.19243191654776304,903.2473883971071,0.3235094302998932,2893.600983468668,71.73174598039533,873.9912630635034,0,42686.0
qwen,15,924.47,882.1599981009668,0.19254555637151893,909.0738736767136,0.3245102599327182,2902.552814044804,71.9536599348816,880.0355008175643,0,42686.0
qwen,20,920.75,884.2349434138648,0.19226650978371052,910.8481111516722,0.325821341297855,2914.2796633179473,72.24436600597339,882.1060771814477,0,42686.0
yi,1,357.98,38.25693174164393,0.6637874197888068,234.43526290690747,0.8380356444494106,7495.734398569753,185.8176434437678,36.863190013136474,0,42606.0
yi,5,352.02,260.9264039178076,0.8206360636196024,313.36891486306905,0.8522243054371911,7622.643599795467,188.9636952445884,258.9981534987153,0,42606.0
yi,10,351.73,288.6122031959554,0.8185164943900626,334.5824739545956,0.8529269610212379,7628.92843942797,189.11949506723906,286.6756859032263,0,42606.0
yi,15,349.01,297.140077058688,0.8099968819100215,337.9116305976454,0.8595742242342627,7688.3842869831815,190.59339273946307,294.77317330212446,0,42606.0
yi,20,352.00,303.77336326609947,0.8273130308863845,345.4859594572463,0.8522727272727273,7623.076704545455,188.9744318181818,301.8384345353092,0,42606.0
