model,qps,total_time,status,sequence_metrics_csv,output_dir
llama,1,912.68,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_llama
llama,5,910.44,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_llama
llama,10,936.03,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_llama
llama,15,912.85,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_llama
llama,20,912.75,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_llama
mistral,1,487.27,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_mistral
mistral,5,487.56,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_mistral
mistral,10,482.72,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_mistral
mistral,15,482.41,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_mistral
mistral,20,482.25,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_mistral
mixtral,1,289.31,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_mixtral
mixtral,5,100.18,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_mixtral
mixtral,10,96.94,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_mixtral
mixtral,15,95.22,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_mixtral
mixtral,20,95.91,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_mixtral
qwen,1,929.68,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_qwen
qwen,5,929.49,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_qwen
qwen,10,927.33,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_qwen
qwen,15,924.47,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_qwen
qwen,20,920.75,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_qwen
yi,1,357.98,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_1_qps_yi
yi,5,352.02,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_5_qps_yi
yi,10,351.73,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_10_qps_yi
yi,15,349.01,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_15_qps_yi
yi,20,352.00,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_vllm_poison_20_qps_yi
