qps,chunk_size,total_time
1,128,3913.01
1,256,2329.01
1,512,1954.16
1,1024,1965.28
1,2048,1965.73
1,3072,2000.72
1,4096,2021.73
5,128,3957.60
5,256,2331.56
5,512,1955.23
5,1024,1974.06
5,2048,1961.29
5,3072,2014.62
5,4096,2037.17
10,128,3987.48
10,256,2313.72
10,512,1956.95
10,1024,1967.44
10,2048,1939.97
10,3072,2028.03
10,4096,2003.47
15,128,3929.17
15,256,2338.84
15,512,1955.40
15,1024,1947.56
15,2048,1993.16
15,3072,1995.70
15,4096,2003.02
20,128,4003.42
20,256,2323.57
20,512,1936.24
20,1024,1977.99
20,2048,1967.61
20,3072,2026.00
20,4096,2047.31
