qps,chunk_size,total_time,status,sequence_metrics_csv,output_dir
1,128,3913.01,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_llama
1,256,2329.01,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_llama
1,512,1954.16,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_llama
1,1024,1965.28,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_llama
1,2048,1965.73,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_llama
1,3072,2000.72,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_llama
1,4096,2021.73,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_llama
5,128,3957.60,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_llama
5,256,2331.56,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_llama
5,512,1955.23,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_llama
5,1024,1974.06,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_llama
5,2048,1961.29,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_llama
5,3072,2014.62,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_llama
5,4096,2037.17,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_llama
