qps,chunk_size,total_time
1,128,3779.20
1,256,1962.43
1,512,1397.56
1,1024,1223.10
1,2048,1194.78
1,3072,1203.95
1,4096,1178.24
5,128,3709.59
5,256,1966.54
5,512,1405.82
5,1024,1249.40
5,2048,1172.83
5,3072,1197.01
5,4096,1198.29
10,128,3693.84
10,256,1980.29
10,512,1379.97
10,1024,1247.91
10,2048,1190.58
10,3072,1198.13
10,4096,1201.45
15,128,3670.63
15,256,1892.87
15,512,1379.78
15,1024,1256.29
15,2048,1184.05
15,3072,1203.17
15,4096,1185.28
20,128,3520.19
20,256,1954.30
20,512,1401.87
20,1024,1267.08
20,2048,1180.66
20,3072,1190.21
20,4096,1190.77
