qps,chunk_size,total_time
1,128,3560.65
1,256,1766.59
1,512,1016.27
1,1024,973.82
1,2048,972.92
1,3072,971.93
1,4096,970.95
5,128,3402.07
5,256,1860.58
5,512,988.46
5,1024,576.95
5,2048,358.41
5,3072,323.07
5,4096,284.40
10,128,3546.17
10,256,1847.89
10,512,990.70
10,1024,565.28
10,2048,352.80
10,3072,320.29
10,4096,302.99
15,128,3370.26
15,256,1795.63
15,512,996.69
15,1024,581.15
15,2048,352.22
15,3072,303.73
15,4096,301.85
20,128,3437.33
20,256,1863.65
20,512,995.65
20,1024,566.05
20,2048,334.50
20,3072,327.96
20,4096,300.27
