qps,chunk_size,total_time,status,sequence_metrics_csv,output_dir
1,128,3560.65,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_mixtral
1,256,1766.59,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_mixtral
1,512,1016.27,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_mixtral
1,1024,973.82,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_mixtral
1,2048,972.92,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_mixtral
1,3072,971.93,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_mixtral
1,4096,970.95,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_mixtral
5,128,3402.07,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_mixtral
5,256,1860.58,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_mixtral
5,512,988.46,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_mixtral
5,1024,576.95,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_mixtral
5,2048,358.41,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_mixtral
5,3072,323.07,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_mixtral
5,4096,284.40,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_mixtral
10,128,3546.17,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_10_qps_mixtral
10,256,1847.89,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_10_qps_mixtral
10,512,990.70,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_10_qps_mixtral
10,1024,565.28,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_10_qps_mixtral
10,2048,352.80,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_10_qps_mixtral
10,3072,320.29,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_10_qps_mixtral
10,4096,302.99,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_10_qps_mixtral
15,128,3370.26,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_15_qps_mixtral
15,256,1795.63,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_15_qps_mixtral
15,512,996.69,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_15_qps_mixtral
15,1024,581.15,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_15_qps_mixtral
15,2048,352.22,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_15_qps_mixtral
15,3072,303.73,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_15_qps_mixtral
15,4096,301.85,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_15_qps_mixtral
20,128,3437.33,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_20_qps_mixtral
20,256,1863.65,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_20_qps_mixtral
20,512,995.65,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_20_qps_mixtral
20,1024,566.05,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_20_qps_mixtral
20,2048,334.50,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_20_qps_mixtral
20,3072,327.96,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_20_qps_mixtral
