qps,chunk_size,total_time
1,128,4082.11
1,256,2327.37
1,512,1974.63
1,1024,1992.64
1,2048,2009.71
1,3072,2043.79
1,4096,2056.88
5,128,4061.54
5,256,2374.23
5,512,1972.02
5,1024,1991.70
5,2048,2017.46
5,3072,2049.96
5,4096,2043.78
10,128,4039.15
10,256,2351.79
10,512,1960.81
10,1024,2011.58
10,2048,2027.46
10,3072,2053.90
10,4096,2049.92
15,128,4079.93
15,256,2388.86
15,512,1963.75
15,1024,2013.69
15,2048,2025.41
15,3072,2049.37
15,4096,2075.91
20,128,4132.29
20,256,2385.91
20,512,1977.16
20,1024,1993.46
20,2048,2031.66
20,3072,2036.76
20,4096,2065.05
