qps,chunk_size,total_time,status,sequence_metrics_csv,output_dir
1,128,4082.11,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_qwen
1,256,2327.37,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_qwen
1,512,1974.63,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_qwen
1,1024,1992.64,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_qwen
1,2048,2009.71,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_qwen
1,3072,2043.79,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_qwen
1,4096,2056.88,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_qwen
5,128,4061.54,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_qwen
5,256,2374.23,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_qwen
5,512,1972.02,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_qwen
5,1024,1991.70,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_qwen
5,2048,2017.46,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_qwen
5,3072,2049.96,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_5_qps_qwen
5,4096,2043.78,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_5_qps_qwen
10,128,4039.15,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_10_qps_qwen
10,256,2351.79,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_10_qps_qwen
10,512,1960.81,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_10_qps_qwen
10,1024,2011.58,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_10_qps_qwen
10,2048,2027.46,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_10_qps_qwen
