model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
meta-llama/Llama-2-7b-hf,long_long,fcfs,7170.95,6646.774179252205,0.08960953031559167,7020.0032763898835,0.04183546113137032,397.57647173665976,181.37290038279448,6645.137886559228,161,39473.0
meta-llama/Llama-2-7b-hf,long_long,sjf,7177.9,6642.69330797004,0.08812058157665026,7034.541669117999,0.041794953955892396,397.19151841067725,181.19728611432313,6621.554715113067,104,39477.0
meta-llama/Llama-2-7b-hf,long_long,ljf,7202.92,6655.401548439419,0.09080638730646941,7042.396314500607,0.04164977536887818,395.81183742149017,180.5678808038962,6652.844996582088,198,39509.0
meta-llama/Llama-2-7b-hf,long_long,prompt_len_sjf,7305.63,6784.795285926954,0.08842657505426134,7111.982902755313,0.041064220334180626,390.24711078989765,178.02927331386888,6744.028274139566,111,39563.0
meta-llama/Llama-2-7b-hf,long_long,prefill_aging_fairness,7201.47,6670.830117817028,0.08975056047185076,7050.274928198713,0.04165816145870218,395.89153325640456,180.60423774590464,6669.172810935257,161,39473.0
meta-llama/Llama-2-7b-hf,long_long,vtc_fairness,7243.76,6663.884124004506,0.08873261268229929,7093.834872847041,0.041414955768827234,393.58026770627407,179.54984704076335,6647.694020092557,113,39535.0
meta-llama/Llama-2-7b-hf,long_long,skip_join_mlfq,7277.83,6746.679939223737,0.08868423695607727,7141.5359841036425,0.041221078260965154,391.73778447696634,178.7093130782115,6699.149194900369,112,39535.0
meta-llama/Llama-2-7b-hf,long_long,least_laxity_first,7230.37,6726.434409145597,0.08995403306744215,7066.680081569762,0.041491652571030255,394.30914323886606,179.88235733441027,6724.363572563846,125,39509.0
meta-llama/Llama-2-7b-hf,long_long,hybrid,7142.93,6611.6737180552955,0.09163881064638733,6990.658721869443,0.04199957160436964,399.1360688120981,182.08438273929605,6608.178864064832,144,39589.0
meta-llama/Llama-2-7b-hf,long_long,adaptive_io_aging,7272.97,6736.263313714391,0.09042419926554589,7120.616463201455,0.041248623327196456,391.99955451486807,178.82873159108314,6734.636360365339,161,39473.0
meta-llama/Llama-2-7b-hf,long_short,fcfs,394.03,274.5155306555377,0.1111816940096275,300.74542005810423,0.7613633479684289,4106.367535466843,195.9926909118595,272.3661752484087,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,sjf,393.17,273.9050143475924,0.11250803496644253,299.65134800097906,0.7630287153139863,4115.349594323066,196.4213953251774,271.7635846743779,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,ljf,390.55,271.1180974504677,0.11205373767522074,297.13760329766666,0.7681474843169889,4142.957367814621,197.73908590449366,268.97271106113215,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,prompt_len_sjf,392.59,273.6278410747927,0.11224291460008254,299.5685120151844,0.764155989709366,4121.429481138083,196.71158205761736,271.49879534780047,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,prefill_aging_fairness,395.36,276.8339178924495,0.11387318950933821,302.14837439957074,0.7588021044111696,4092.553622015378,195.3333670578713,274.6703930053255,0,39541.0
meta-llama/Llama-2-7b-hf,long_short,vtc_fairness,394.55,274.5875507495878,0.11322715882023245,301.11278431940826,0.7603599036877455,4100.955518945634,195.73438094031175,272.4247460059542,0,39541.0
