model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
llama2_7b,long_long,fcfs,7170.95,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_fcfs_chunk512_qps3_n300
llama2_7b,long_long,sjf,7177.90,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_sjf_chunk512_qps3_n300
llama2_7b,long_long,ljf,7202.92,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_ljf_chunk512_qps3_n300
llama2_7b,long_long,prompt_len_sjf,7305.63,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300
llama2_7b,long_long,prefill_aging_fairness,7201.47,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
llama2_7b,long_long,vtc_fairness,7243.76,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_vtc_fairness_chunk512_qps3_n300
llama2_7b,long_long,skip_join_mlfq,7277.83,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300
llama2_7b,long_long,least_laxity_first,7230.37,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_least_laxity_first_chunk512_qps3_n300
llama2_7b,long_long,hybrid,7142.93,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_hybrid_chunk512_qps3_n300
llama2_7b,long_long,adaptive_io_aging,7272.97,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_long_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300
