model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
llama,128,1,431.79,124.03258491281201,0.07507526962839811,170.62235537338913,0.6947821857847565,1837.6896176382036,306.0469209569466,123.7326449930467,0,39591.0
llama,256,1,340.16,23.86648660216371,0.10444709986120371,100.5137153514647,0.8819379115710253,2332.714016933208,388.4877704609595,23.101162004499056,1,39521.0
llama,512,1,340.48,22.774643728190274,0.12636094951233337,105.51034895951268,0.8811090225563909,2330.521616541353,388.1226503759398,22.28286450950705,1,39557.0
llama,1024,1,346.33,27.669313532628074,0.13710121128887373,113.1578047572213,0.8662258539543211,2291.1558340311267,381.5667138278521,27.155416332396562,1,39533.0
llama,2048,1,345.41,28.02689618842756,0.13623658800567637,113.30896000045176,0.8685330476824643,2297.2583306794822,382.58301728380764,27.463759469726064,1,39497.0
llama,3072,1,344.79,30.410428173880206,0.142521128703892,116.06248732396605,0.8700948403375968,2301.3892514284057,383.27097653644245,29.572149734183764,2,39429.0
llama,4096,1,348.33,31.407152074018008,0.14481156708858697,117.72671736831029,0.8612522607871846,2278.000746418626,379.37587919501624,31.024216080214245,3,39497.0
llama,128,5,458.58,371.5283049507608,0.08173607562606958,405.7157204782673,0.6541933795629988,1730.3327663657378,288.1678224083039,371.30889897489686,0,39591.0
llama,256,5,336.28,237.72535146009665,0.10435797630833774,282.63856969748616,0.8921137147615084,2359.6288806946595,392.9701439276794,237.23279581061473,0,39521.0
llama,512,5,321.62,217.2547295351213,0.12338511966989382,268.374439729603,0.9327778123251041,2467.1848765624027,410.88240781045954,216.68095603306296,2,39567.0
llama,1024,5,327.63,222.2027479284969,0.13054029452667018,273.19283665475746,0.9156670634557275,2421.9271739462197,403.34523700515825,221.60516211896214,7,39559.0
llama,2048,5,335.30,229.31853595065064,0.19023493332864208,280.3141266442121,0.8947211452430659,2366.5254995526393,394.1186996719356,228.65423268777784,6,39483.0
llama,3072,5,333.30,228.08041615564602,0.19762973864564476,279.11482364610987,0.9000900090009001,2380.7260726072604,396.4836483648365,227.61342733985285,4,39429.0
