model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
llama,1,355.71,36.2823112321677,0.13398276568521494,121.7571498246133,0.8433836552247618,2230.738522954092,371.5048775688061,35.451557129349666,7,39431.0
llama,5,335.12,237.87342304304792,0.2079326082343806,280.9485870283763,0.8952017187873,2367.7966101694915,394.3303891143471,236.20927278466868,10,40435.0
llama,10,336.51,268.8516952445704,0.20869057514346326,308.838177523847,0.891503967192654,2358.0161065050074,392.7015541885828,267.5045218506857,10,40435.0
llama,15,329.16,270.4716985346549,0.20574707185528154,309.7974525927525,0.911410864017499,2410.6695831814313,401.47040952728156,269.2948575453571,10,40435.0
llama,20,339.75,284.1819265853902,0.21043266094398375,324.0125773046998,0.8830022075055187,2335.5290654893306,388.95658572479766,283.0897192177721,10,40435.0
mistral,1,313.27,2.018465821398711,0.10245120704209268,78.99537692647252,0.9576403741181729,2532.9460210042457,421.83420052989436,1.651054506417711,0,39767.0
mistral,5,188.72,62.81256301953661,0.9996132969252117,167.26487224495241,1.58965663416702,4204.620601949979,700.2331496396779,61.998402339119636,0,43013.0
mistral,10,182.84,87.54816601927858,0.9920408799372716,164.08352546701383,1.6407788230146576,4339.838109822796,722.7521330124699,86.71167135941447,0,43013.0
mistral,15,187.04,99.81364739758517,1.000058681724211,171.31032228853002,1.6039349871685202,4242.386655260907,706.5226689478187,98.98257268363145,0,43013.0
mistral,20,187.04,103.51805481103074,0.9963829721368651,173.46317516151058,1.6039349871685202,4242.386655260907,706.5226689478187,102.68855322788295,0,43013.0
mixtral,1,309.18,1.4055860666083728,0.06023187661749682,54.75735333475401,0.9703085581214826,2566.45319878388,427.4144511287923,1.3101153876518925,0,39557.0
mixtral,5,116.55,2.9609471969158037,0.12389952826955856,88.8095540385018,2.574002574002574,6808.202488202488,1133.8309738309738,2.741564170180936,0,39507.0
mixtral,10,104.05,3.80677372631675,0.18026542692878536,94.2287948994679,2.8832292167227296,7626.102835175397,1270.0432484382509,3.7654790486791163,0,39751.0
mixtral,15,99.56,8.709829331366633,0.22581041205455465,94.75762210306478,3.013258336681398,7970.028123744475,1327.3202089192446,8.665640864827726,0,39751.0
mixtral,20,97.01,11.996529007017374,0.31901919775082865,95.25495420237336,3.092464694361406,8179.527883723327,1362.2100814349035,11.949992846002855,0,40747.0
qwen,1,347.78,32.81511848930267,0.13022367839898258,113.60747311395069,0.8626142963942723,2281.6033124388982,379.975846799701,32.27951626358202,3,40079.0
qwen,5,338.29,240.02744487036048,0.19536431328710183,286.17656772581336,0.886813089361199,2345.6087971858465,390.63525377634573,239.71149700217268,8,40415.0
qwen,10,333.89,263.3689262203552,0.1913348525444399,306.9966241813564,0.8984995058252718,2376.519212914433,395.78304231932674,263.0539394279476,8,40415.0
qwen,15,332.09,273.18823443030504,0.18964957643714256,314.34418450946276,0.9033695684904696,2389.400463729712,397.9282724562619,272.8730272654977,8,40415.0
qwen,20,339.23,282.44672945977624,0.19254700615079529,324.6728930980881,0.8843557468384281,2339.1091589776847,389.55281077734867,282.1319645672079,8,40415.0
yi,1,312.44,1.8767710456388866,0.09158233745212067,74.3592366080766,0.960184355396236,2539.6748175649723,422.95480732300604,1.5160924538539233,0,39683.0
yi,5,151.80,15.125567868164499,1.2147939280390556,143.83076073226724,1.976284584980237,5227.246376811594,870.5401844532279,15.08220711878209,0,41191.0
yi,10,143.26,42.66341182022384,1.4289943138928631,138.74312754704616,2.094094653078319,5538.852436130113,922.4347340499792,42.61624067177122,0,42209.0
yi,15,151.88,53.01948848181054,1.4312490532102118,148.55943018461636,1.9752436133789835,5224.4930208058995,870.0816434026864,52.97176897368394,0,42209.0
yi,20,148.33,57.29972641960659,1.4259367536506207,146.53511164377238,2.0225173599406725,5349.531450144947,890.9054136048001,57.25566089821222,0,42209.0
