model,qps,total_time,status,sequence_metrics_csv,output_dir
llama,1,355.71,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_llama
llama,5,335.12,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_llama
llama,10,336.51,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_llama
llama,15,329.16,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_llama
llama,20,339.75,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_llama/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_llama
mistral,1,313.27,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_mistral
mistral,5,188.72,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_mistral
mistral,10,182.84,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_mistral
mistral,15,187.04,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_mistral
mistral,20,187.04,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_mistral
mixtral,1,309.18,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_mixtral
mixtral,5,116.55,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_mixtral
mixtral,10,104.05,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_mixtral
mixtral,15,99.56,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_mixtral
mixtral,20,97.01,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_mixtral
qwen,1,347.78,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_qwen
qwen,5,338.29,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_qwen
qwen,10,333.89,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_qwen
qwen,15,332.09,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_qwen
qwen,20,339.23,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_qwen/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_qwen
yi,1,312.44,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_1_qps_yi
yi,5,151.80,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_5_qps_yi
yi,10,143.26,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_10_qps_yi
yi,15,151.88,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_15_qps_yi
yi,20,148.33,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_vllm_poison_20_qps_yi
