Dataset,Model,Chunk Size,Inference,Requests,Request Arrival
Arxiv,llama,128,800.56 s,300,Poisson 1 QPS
Arxiv,llama,256,610.19 s,300,Poisson 1 QPS
Arxiv,llama,512,582.03 s,300,Poisson 1 QPS
Arxiv,llama,1024,618.28 s,300,Poisson 1 QPS
Arxiv,llama,2048,654.71 s,300,Poisson 1 QPS
Arxiv,llama,3072,659.71 s,300,Poisson 1 QPS
Arxiv,llama,4096,681.58 s,300,Poisson 1 QPS
Arxiv,llama,128,795.50 s,300,Poisson 5 QPS
Arxiv,llama,256,596.79 s,300,Poisson 5 QPS
Arxiv,llama,512,591.91 s,300,Poisson 5 QPS
Arxiv,llama,1024,616.80 s,300,Poisson 5 QPS
Arxiv,llama,2048,662.50 s,300,Poisson 5 QPS
Arxiv,llama,3072,663.35 s,300,Poisson 5 QPS
Arxiv,llama,4096,687.74 s,300,Poisson 5 QPS
Arxiv,llama,128,800.51 s,300,Poisson 10 QPS
Arxiv,llama,256,596.58 s,300,Poisson 10 QPS
Arxiv,llama,512,596.44 s,300,Poisson 10 QPS
Arxiv,llama,1024,614.40 s,300,Poisson 10 QPS
Arxiv,llama,2048,655.11 s,300,Poisson 10 QPS
Arxiv,llama,3072,650.98 s,300,Poisson 10 QPS
Arxiv,llama,4096,685.36 s,300,Poisson 10 QPS
Arxiv,llama,128,797.02 s,300,Poisson 15 QPS
Arxiv,llama,256,596.71 s,300,Poisson 15 QPS
Arxiv,llama,512,586.53 s,300,Poisson 15 QPS
Arxiv,llama,1024,614.47 s,300,Poisson 15 QPS
Arxiv,llama,2048,657.86 s,300,Poisson 15 QPS
Arxiv,llama,3072,655.18 s,300,Poisson 15 QPS
Arxiv,llama,4096,675.61 s,300,Poisson 15 QPS
Arxiv,llama,128,797.76 s,300,Poisson 20 QPS
Arxiv,llama,256,604.38 s,300,Poisson 20 QPS
Arxiv,llama,512,590.62 s,300,Poisson 20 QPS
Arxiv,llama,1024,615.53 s,300,Poisson 20 QPS
Arxiv,llama,2048,652.81 s,300,Poisson 20 QPS
Arxiv,llama,3072,656.89 s,300,Poisson 20 QPS
Arxiv,llama,4096,674.50 s,300,Poisson 20 QPS
Arxiv,mistral,128,594.23 s,300,Poisson 1 QPS
Arxiv,mistral,256,378.91 s,300,Poisson 1 QPS
Arxiv,mistral,512,304.07 s,300,Poisson 1 QPS
Arxiv,mistral,1024,306.18 s,300,Poisson 1 QPS
Arxiv,mistral,2048,313.40 s,300,Poisson 1 QPS
Arxiv,mistral,3072,320.17 s,300,Poisson 1 QPS
Arxiv,mistral,4096,329.55 s,300,Poisson 1 QPS
Arxiv,mistral,128,597.30 s,300,Poisson 5 QPS
Arxiv,mistral,256,375.92 s,300,Poisson 5 QPS
Arxiv,mistral,512,297.35 s,300,Poisson 5 QPS
Arxiv,mistral,1024,302.02 s,300,Poisson 5 QPS
Arxiv,mistral,2048,313.59 s,300,Poisson 5 QPS
Arxiv,mistral,3072,314.71 s,300,Poisson 5 QPS
Arxiv,mistral,4096,323.89 s,300,Poisson 5 QPS
Arxiv,mistral,128,598.40 s,300,Poisson 10 QPS
Arxiv,mistral,256,372.42 s,300,Poisson 10 QPS
Arxiv,mistral,512,292.72 s,300,Poisson 10 QPS
Arxiv,mistral,1024,297.19 s,300,Poisson 10 QPS
Arxiv,mistral,2048,312.34 s,300,Poisson 10 QPS
Arxiv,mistral,3072,315.65 s,300,Poisson 10 QPS
Arxiv,mistral,4096,324.02 s,300,Poisson 10 QPS
Arxiv,mistral,128,602.03 s,300,Poisson 15 QPS
Arxiv,mistral,256,385.53 s,300,Poisson 15 QPS
Arxiv,mistral,512,294.26 s,300,Poisson 15 QPS
Arxiv,mistral,1024,298.26 s,300,Poisson 15 QPS
Arxiv,mistral,2048,315.59 s,300,Poisson 15 QPS
Arxiv,mistral,3072,319.07 s,300,Poisson 15 QPS
Arxiv,mistral,4096,323.23 s,300,Poisson 15 QPS
Arxiv,mistral,128,581.48 s,300,Poisson 20 QPS
Arxiv,mistral,256,377.74 s,300,Poisson 20 QPS
Arxiv,mistral,512,296.55 s,300,Poisson 20 QPS
Arxiv,mistral,1024,300.27 s,300,Poisson 20 QPS
Arxiv,mistral,2048,312.16 s,300,Poisson 20 QPS
Arxiv,mistral,3072,316.70 s,300,Poisson 20 QPS
Arxiv,mistral,4096,323.56 s,300,Poisson 20 QPS
Arxiv,mixtral,128,387.09 s,300,Poisson 1 QPS
Arxiv,mixtral,256,291.34 s,300,Poisson 1 QPS
Arxiv,mixtral,512,287.95 s,300,Poisson 1 QPS
Arxiv,mixtral,1024,289.05 s,300,Poisson 1 QPS
Arxiv,mixtral,2048,287.61 s,300,Poisson 1 QPS
Arxiv,mixtral,3072,286.83 s,300,Poisson 1 QPS
Arxiv,mixtral,4096,287.98 s,300,Poisson 1 QPS
Arxiv,mixtral,128,388.30 s,300,Poisson 5 QPS
Arxiv,mixtral,256,226.95 s,300,Poisson 5 QPS
Arxiv,mixtral,512,141.48 s,300,Poisson 5 QPS
Arxiv,mixtral,1024,110.65 s,300,Poisson 5 QPS
Arxiv,mixtral,2048,87.97 s,300,Poisson 5 QPS
Arxiv,mixtral,3072,89.52 s,300,Poisson 5 QPS
