Dataset,Model,Inference,Requests,Request Arrival
Arxiv,llama,912.68 s,300,Poisson 1 QPS
Arxiv,llama,910.44 s,300,Poisson 5 QPS
Arxiv,llama,936.03 s,300,Poisson 10 QPS
Arxiv,llama,912.85 s,300,Poisson 15 QPS
Arxiv,llama,912.75 s,300,Poisson 20 QPS
Arxiv,mistral,487.27 s,300,Poisson 1 QPS
Arxiv,mistral,487.56 s,300,Poisson 5 QPS
Arxiv,mistral,482.72 s,300,Poisson 10 QPS
Arxiv,mistral,482.41 s,300,Poisson 15 QPS
Arxiv,mistral,482.25 s,300,Poisson 20 QPS
Arxiv,mixtral,289.31 s,300,Poisson 1 QPS
Arxiv,mixtral,100.18 s,300,Poisson 5 QPS
Arxiv,mixtral,96.94 s,300,Poisson 10 QPS
Arxiv,mixtral,95.22 s,300,Poisson 15 QPS
Arxiv,mixtral,95.91 s,300,Poisson 20 QPS
Arxiv,qwen,929.68 s,300,Poisson 1 QPS
Arxiv,qwen,929.49 s,300,Poisson 5 QPS
Arxiv,qwen,927.33 s,300,Poisson 10 QPS
Arxiv,qwen,924.47 s,300,Poisson 15 QPS
Arxiv,qwen,920.75 s,300,Poisson 20 QPS
Arxiv,yi,357.98 s,300,Poisson 1 QPS
Arxiv,yi,352.02 s,300,Poisson 5 QPS
Arxiv,yi,351.73 s,300,Poisson 10 QPS
Arxiv,yi,349.01 s,300,Poisson 15 QPS
Arxiv,yi,352.00 s,300,Poisson 20 QPS
