Dataset,Model,Inference,Requests,Request Arrival
ShareGPT,llama,355.71 s,300,Poisson 1 QPS
ShareGPT,llama,335.12 s,300,Poisson 5 QPS
ShareGPT,llama,336.51 s,300,Poisson 10 QPS
ShareGPT,llama,329.16 s,300,Poisson 15 QPS
ShareGPT,llama,339.75 s,300,Poisson 20 QPS
ShareGPT,mistral,313.27 s,300,Poisson 1 QPS
ShareGPT,mistral,188.72 s,300,Poisson 5 QPS
ShareGPT,mistral,182.84 s,300,Poisson 10 QPS
ShareGPT,mistral,187.04 s,300,Poisson 15 QPS
ShareGPT,mistral,187.04 s,300,Poisson 20 QPS
ShareGPT,mixtral,309.18 s,300,Poisson 1 QPS
ShareGPT,mixtral,116.55 s,300,Poisson 5 QPS
ShareGPT,mixtral,104.05 s,300,Poisson 10 QPS
ShareGPT,mixtral,99.56 s,300,Poisson 15 QPS
ShareGPT,mixtral,97.01 s,300,Poisson 20 QPS
ShareGPT,qwen,347.78 s,300,Poisson 1 QPS
ShareGPT,qwen,338.29 s,300,Poisson 5 QPS
ShareGPT,qwen,333.89 s,300,Poisson 10 QPS
ShareGPT,qwen,332.09 s,300,Poisson 15 QPS
ShareGPT,qwen,339.23 s,300,Poisson 20 QPS
ShareGPT,yi,312.44 s,300,Poisson 1 QPS
ShareGPT,yi,151.80 s,300,Poisson 5 QPS
ShareGPT,yi,143.26 s,300,Poisson 10 QPS
ShareGPT,yi,151.88 s,300,Poisson 15 QPS
ShareGPT,yi,148.33 s,300,Poisson 20 QPS
