qps,chunk_size,total_time
1,128,3804.03
1,256,1873.85
1,512,1252.16
1,1024,1099.05
1,2048,1024.77
1,3072,991.28
1,4096,985.66
5,128,3847.64
5,256,1871.88
5,512,1243.43
5,1024,1093.78
5,2048,1014.44
5,3072,987.83
5,4096,983.23
10,128,3772.80
10,256,1845.17
10,512,1239.39
10,1024,1103.93
10,2048,1026.64
10,3072,993.89
10,4096,981.86
15,128,3756.18
15,256,1890.43
15,512,1250.45
15,1024,1101.55
15,2048,1022.25
15,3072,997.68
15,4096,966.64
20,128,3792.36
20,256,1875.24
20,512,1248.30
20,1024,1100.94
20,2048,1013.83
20,3072,995.71
20,4096,981.96
