qps,chunk_size,total_time,status,sequence_metrics_csv,output_dir
1,128,3804.03,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_1_qps_yi
1,256,1873.85,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_1_qps_yi
1,512,1252.16,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_1_qps_yi
1,1024,1099.05,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_1_qps_yi
1,2048,1024.77,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_1_qps_yi
1,3072,991.28,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_3072_poison_1_qps_yi
1,4096,985.66,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_4096_poison_1_qps_yi
5,128,3847.64,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_128_poison_5_qps_yi
5,256,1871.88,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_256_poison_5_qps_yi
5,512,1243.43,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_512_poison_5_qps_yi
5,1024,1093.78,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_1024_poison_5_qps_yi
5,2048,1014.44,success,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_yi/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/figure-1/arxiv_chunk_2048_poison_5_qps_yi
