model,workload,category,n_launches,launch_share_pct,mean_sm_throughput_pct,mean_mem_throughput_pct,mean_dram_bytes
llama,decode_only,activation,29,3.6249999999999996,28.405172413793103,59.30206896551724,10675407.448275862
llama,decode_only,elementwise,320,40.0,4.55671875,18.80765625,902611.2
llama,decode_only,gemm,118,14.75,76.27737288135593,68.25127118644068,129445674.30508475
llama,decode_only,memory_movement,19,2.375,13.865263157894736,39.25578947368421,2160404.210526316
llama,decode_only,norm,60,7.5,21.5915,21.5915,1786978.1333333333
llama,decode_only,reduce,29,3.6249999999999996,22.705172413793104,66.4496551724138,7270179.310344827
llama,decode_only,rng,195,24.375,44.49928205128205,31.539230769230766,44086487.95897436
llama,decode_only,rotary,30,3.75,26.741333333333333,39.824666666666666,3723925.3333333335
llama,mixed_chunked,activation,29,3.6249999999999996,38.256206896551724,78.85137931034483,27998053.51724138
llama,mixed_chunked,elementwise,320,40.0,5.275125,23.961625,1972322.8
llama,mixed_chunked,gemm,118,14.75,77.3443220338983,38.83474576271186,138457500.20338982
llama,mixed_chunked,memory_movement,19,2.375,14.27842105263158,39.22315789473684,2159979.789473684
llama,mixed_chunked,norm,60,7.5,33.477333333333334,33.477333333333334,4720520.533333333
llama,mixed_chunked,reduce,29,3.6249999999999996,23.525862068965516,53.89103448275862,9839995.586206896
llama,mixed_chunked,rng,195,24.375,44.38876923076923,31.492871794871792,44139174.72820513
llama,mixed_chunked,rotary,30,3.75,37.592666666666666,56.25966666666667,9943300.266666668
mistral,decode_only,activation,29,3.6249999999999996,29.864827586206896,62.4448275862069,13838499.310344828
mistral,decode_only,elementwise,320,40.0,8.6926875,27.84403125,2762508.0
mistral,decode_only,gemm,118,14.75,72.17118644067797,65.46118644067796,139616457.76271185
mistral,decode_only,memory_movement,19,2.375,24.31736842105263,79.09947368421054,17517197.47368421
mistral,decode_only,norm,60,7.5,21.603166666666667,21.603166666666667,1790120.5333333334
mistral,decode_only,reduce,29,3.6249999999999996,22.736206896551725,66.15310344827586,7226888.827586207
mistral,decode_only,rng,195,24.375,42.90302564102564,30.514410256410258,51465393.23076923
mistral,decode_only,rotary,30,3.75,23.906333333333333,33.446333333333335,2320046.933333333
mistral,mixed_chunked,activation,32,4.0,39.5621875,81.6146875,36275892.0
mistral,mixed_chunked,elementwise,327,40.875,9.392782874617737,33.7045871559633,3891859.5718654436
mistral,mixed_chunked,gemm,128,16.0,77.033046875,40.882265625,154914038.0
mistral,mixed_chunked,memory_movement,19,2.375,24.855263157894736,79.44315789473684,17519171.36842105
mistral,mixed_chunked,norm,65,8.125,33.509846153846155,33.509846153846155,4727528.36923077
mistral,mixed_chunked,rng,197,24.625,43.19071065989848,30.814314720812185,55213391.91878173
mistral,mixed_chunked,rotary,32,4.0,36.189375,50.971875,6201260.0
mixtral,decode_only,activation,22,2.75,28.401818181818182,49.52272727272727,5874449.454545454
mixtral,decode_only,attention,210,26.25,0.7505238095238096,0.8498571428571429,4103.314285714286
mixtral,decode_only,elementwise,149,18.625,2.22496644295302,9.77791946308725,451907.8657718121
mixtral,decode_only,gemm,67,8.375,11.502686567164178,19.788656716417908,2513813.0149253733
mixtral,decode_only,memory_movement,4,0.5,17.335,38.165,4613376.0
mixtral,decode_only,moe_expert_gemm,44,5.5,33.37,51.28545454545454,33168686.545454547
mixtral,decode_only,moe_routing,44,5.5,0.041590909090909095,0.32954545454545453,2624.0
mixtral,decode_only,norm,46,5.75,16.91282608695652,16.91282608695652,335663.3043478261
mixtral,decode_only,reduce,44,5.5,4.473636363636364,6.692954545454546,334475.63636363635
mixtral,decode_only,rng,147,18.375,43.33462585034013,25.70857142857143,301501049.0340136
mixtral,decode_only,rotary,23,2.875,10.247826086956522,10.230869565217391,420173.9130434783
mixtral,mixed_chunked,activation,30,3.75,39.47366666666667,68.52333333333333,20177792.0
mixtral,mixed_chunked,attention,30,3.75,11.660333333333334,36.806666666666665,3288128.0
mixtral,mixed_chunked,elementwise,191,23.875,3.094083769633508,18.646178010471203,939446.9528795811
mixtral,mixed_chunked,gemm,93,11.625,31.933225806451613,36.59569892473118,3447089.5483870967
mixtral,mixed_chunked,memory_movement,4,0.5,28.12,40.73,4611904.0
mixtral,mixed_chunked,moe_expert_gemm,60,7.5,60.256,67.64450000000001,37363733.333333336
mixtral,mixed_chunked,moe_routing,60,7.5,0.095,0.4196666666666667,8855.466666666667
mixtral,mixed_chunked,norm,63,7.875,35.7131746031746,35.7131746031746,1168111.746031746
mixtral,mixed_chunked,reduce,91,11.375,8.244065934065935,11.124285714285714,780583.3846153846
mixtral,mixed_chunked,rng,147,18.375,43.337278911564624,25.718639455782313,301335644.29931974
mixtral,mixed_chunked,rotary,31,3.875,23.855483870967742,25.26516129032258,1571290.8387096773
qwen,decode_only,activation,24,3.0,27.22125,59.812916666666666,10386368.0
qwen,decode_only,elementwise,334,41.75,8.405868263473053,25.379550898203593,2644683.497005988
qwen,decode_only,gemm,97,12.125,74.98051546391753,66.9303092783505,130167844.9484536
qwen,decode_only,memory_movement,20,2.5,24.292,79.342,17567987.2
qwen,decode_only,norm,49,6.125,21.609183673469385,21.609183673469385,1786848.6530612244
qwen,decode_only,reduce,24,3.0,22.76,66.09875000000001,7212597.333333333
qwen,decode_only,rng,227,28.375,38.73370044052863,27.12295154185022,48352024.24669603
qwen,decode_only,rotary,25,3.125,26.4788,39.528400000000005,3732761.6
qwen,mixed_chunked,activation,24,3.0,36.842083333333335,79.94916666666667,27170448.0
qwen,mixed_chunked,elementwise,334,41.75,8.96251497005988,29.385928143712572,3480715.113772455
qwen,mixed_chunked,gemm,97,12.125,82.20845360824742,43.265773195876285,139074012.371134
qwen,mixed_chunked,memory_movement,20,2.5,24.7755,79.578,17569971.2
qwen,mixed_chunked,norm,49,6.125,33.40081632653061,33.40081632653061,4724913.632653061
qwen,mixed_chunked,reduce,24,3.0,23.56625,54.221666666666664,9880901.333333334
qwen,mixed_chunked,rng,227,28.375,38.76814977973569,27.17030837004405,48364865.40969163
qwen,mixed_chunked,rotary,25,3.125,37.3324,55.8872,9945579.52
yi,decode_only,activation,29,3.6249999999999996,28.519655172413795,59.6,10673968.551724138
yi,decode_only,elementwise,320,40.0,4.5364375,18.78384375,901480.4
yi,decode_only,gemm,118,14.75,72.60237288135593,67.99728813559322,110763343.18644068
yi,decode_only,memory_movement,19,2.375,13.811578947368423,39.11157894736842,2160276.210526316
yi,decode_only,norm,60,7.5,21.488666666666667,21.488666666666667,1784253.8666666667
yi,decode_only,reduce,29,3.6249999999999996,22.653793103448276,65.83172413793103,7216445.793103448
yi,decode_only,rng,195,24.375,44.18364102564102,28.43641025641026,37395805.86666667
yi,decode_only,rotary,30,3.75,22.225,31.058,2081736.5333333334
yi,mixed_chunked,activation,29,3.6249999999999996,38.3303448275862,78.89103448275863,28038616.275862068
yi,mixed_chunked,elementwise,320,40.0,5.2345,23.911625,1974625.2
yi,mixed_chunked,gemm,118,14.75,79.24440677966102,44.18440677966102,119722317.01694915
yi,mixed_chunked,memory_movement,19,2.375,14.297894736842107,39.3721052631579,2158814.3157894737
yi,mixed_chunked,norm,60,7.5,33.46633333333333,33.46633333333333,4723479.466666667
yi,mixed_chunked,reduce,29,3.6249999999999996,23.509999999999998,53.86310344827586,9841191.72413793
yi,mixed_chunked,rng,195,24.375,44.14302564102564,28.411230769230766,37369702.4
yi,mixed_chunked,rotary,30,3.75,34.260666666666665,48.27466666666667,5570137.6
