model,category,mem_throughput_decode_only,mem_throughput_mixed_chunked,sm_throughput_decode_only,sm_throughput_mixed_chunked,delta_sm_throughput,delta_mem_throughput
llama,norm,21.5915,33.477333333333334,21.5915,33.477333333333334,11.885833333333334,11.885833333333334
mistral,norm,21.603166666666667,33.509846153846155,21.603166666666667,33.509846153846155,11.906679487179488,11.906679487179488
mixtral,norm,16.91282608695652,35.7131746031746,16.91282608695652,35.7131746031746,18.80034851621808,18.80034851621808
qwen,norm,21.609183673469385,33.40081632653061,21.609183673469385,33.40081632653061,11.791632653061225,11.791632653061225
yi,norm,21.488666666666667,33.46633333333333,21.488666666666667,33.46633333333333,11.977666666666664,11.977666666666664
llama,rotary,39.824666666666666,56.25966666666667,26.741333333333333,37.592666666666666,10.851333333333333,16.435000000000002
mistral,rotary,33.446333333333335,50.971875,23.906333333333333,36.189375,12.283041666666666,17.525541666666662
mixtral,rotary,10.230869565217391,25.26516129032258,10.247826086956522,23.855483870967745,13.607657784011224,15.03429172510519
qwen,rotary,39.528400000000005,55.8872,26.4788,37.3324,10.8536,16.358799999999995
yi,rotary,31.058,48.27466666666667,22.225,34.260666666666665,12.035666666666664,17.21666666666667
