chunk=512,qps=3,n=300,model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,,,meta-llama/Llama-2-7b-hf,long_long,fcfs,7170.95,6646.774,0.08961,7020.003,0.041835,397.5765,181.3729,6645.138,161,39473
,,,meta-llama/Llama-2-7b-hf,long_long,sjf,7177.9,6642.693,0.088121,7034.542,0.041795,397.1915,181.1973,6621.555,104,39477
,,,meta-llama/Llama-2-7b-hf,long_long,ljf,7202.92,6655.402,0.090806,7042.396,0.04165,395.8118,180.5679,6652.845,198,39509
,,,meta-llama/Llama-2-7b-hf,long_long,prompt_len_sjf,7305.63,6784.795,0.088427,7111.983,0.041064,390.2471,178.0293,6744.028,111,39563
,,,meta-llama/Llama-2-7b-hf,long_long,prefill_aging_fairness,7201.47,6670.83,0.089751,7050.275,0.041658,395.8915,180.6042,6669.173,161,39473
,,,meta-llama/Llama-2-7b-hf,long_long,vtc_fairness,7243.76,6663.884,0.088733,7093.835,0.041415,393.5803,179.5498,6647.694,113,39535
,,,meta-llama/Llama-2-7b-hf,long_long,skip_join_mlfq,7277.83,6746.68,0.088684,7141.536,0.041221,391.7378,178.7093,6699.149,112,39535
,,,meta-llama/Llama-2-7b-hf,long_long,least_laxity_first,7230.37,6726.434,0.089954,7066.68,0.041492,394.3091,179.8824,6724.364,125,39509
,,,meta-llama/Llama-2-7b-hf,long_long,hybrid,7142.93,6611.674,0.091639,6990.659,0.042,399.1361,182.0844,6608.179,144,39589
,,,meta-llama/Llama-2-7b-hf,long_long,adaptive_io_aging,7272.97,6736.263,0.090424,7120.616,0.041249,391.9996,178.8287,6734.636,161,39473
,,,meta-llama/Llama-2-7b-hf,long_short,fcfs,394.03,274.5155,0.111182,300.7454,0.761363,4106.368,195.9927,272.3662,0,39541
,,,meta-llama/Llama-2-7b-hf,long_short,sjf,393.17,273.905,0.112508,299.6513,0.763029,4115.35,196.4214,271.7636,0,39541
,,,meta-llama/Llama-2-7b-hf,long_short,ljf,390.55,271.1181,0.112054,297.1376,0.768147,4142.957,197.7391,268.9727,0,39541
,,,meta-llama/Llama-2-7b-hf,long_short,prompt_len_sjf,392.59,273.6278,0.112243,299.5685,0.764156,4121.429,196.7116,271.4988,0,39541
,,,meta-llama/Llama-2-7b-hf,long_short,prefill_aging_fairness,395.36,276.8339,0.113873,302.1484,0.758802,4092.554,195.3334,274.6704,0,39541
,,,meta-llama/Llama-2-7b-hf,long_short,vtc_fairness,394.55,274.5876,0.113227,301.1128,0.76036,4100.956,195.7344,272.4247,0,39541
