Dataset,Model,Sarathi-Serve,Chunk Size,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot (p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption,,vLLM with Preemption,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot(p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arxiv,mixtral-7b-8expert,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,
,,,128,3560.65 s,1000,,0.28,2529.57,61.61,2559.97,0.053,2571.61,,,,,,,973.46 s,1000,,1.02,9252.48,225.35,16.38,0.091,38.2,,,,
,,,256,1766.59 s,1000,,0.566,5098.48,124.18,779.93,0.055,791.34,,,,,,,,,,,,,,,,,,,
,,,512,1016.27 s,1000,,0.98,8862.72,215.86,61.89,0.06,79.68,,,,,,,,,,,,,,,,,,,
,,,1024,973.82 s,1000,,1.026,9249.06,225.27,20.6,0.064,39.24,,,,,,,,,,,,,,,,,,,
,,,2048,972.92 s,1000,,1.027,9257.62,225.48,17.65,0.064,32.95,,,,,,,,,,,,,,,,,,,
,,,3072,971.93 s,1000,,1.028,9267.05,225.71,17.73,0.073,34.3,,,,,,,,,,,,,,,,,,,
,,,4096,970.95 s,1000,,1.029,9276.4,225.94,16.85,0.072,33.71,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,
,,,128,3402.07 s,1000,,0.29,2647.48,64.48,3183.93,0.052,3195.18,,,,,,,275.55 s,1000,,3.62,32687.08,796.14,60.59,0.43,163.52,,,,
,,,256,1860.58 s,1000,,0.53,4840.92,117.9,1656.85,0.056,1668.42,,,,,,,,,,,,,,,,,,,
,,,512,988.46 s,1000,,1.01,9112.07,221.93,791.26,0.06,804.29,,,,,,,,,,,,,,,,,,,
,,,1024,576.95 s,1000,,1.73,15611.27,380.23,381.82,0.07,398.53,,,,,,,,,,,,,,,,,,,
,,,2048,358.41 s,1000,,2.79,25130.23,612.08,157,0.084,180.19,,,,,,,,,,,,,,,,,,,
,,,3072,323.07 s,1000,,3.09,27879.17,679.03,124.57,0.11,154,,,,,,,,,,,,,,,,,,,
,,,4096,284.40 s,1000,,3.51,31669.92,771.36,87.16,0.13,123.76,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,
,,,128,3546.17 s,1000,,0.28,2539.9,61.86,3424.74,0.052,3435.62,,,,,,,280.20 s,1000,,3.56,32144.63,782.93,163.68,0.44,219.51,,,,
,,,256,1847.89 s,1000,,0.54,4874.16,118.71,1744.17,0.056,1754.46,,,,,,,,,,,,,,,,,,,
,,,512,990.70 s,1000,,1,9091.47,221.43,890.63,0.06,902.36,,,,,,,,,,,,,,,,,,,
,,,1024,565.28 s,1000,,1.76,15933.56,388.08,468.15,0.068,483.34,,,,,,,,,,,,,,,,,,,
,,,2048,352.80 s,1000,,2.83,25529.83,621.81,250.11,0.082,270.03,,,,,,,,,,,,,,,,,,,
,,,3072,320.29 s,1000,,3.12,28121.15,684.93,217.08,0.11,241.11,,,,,,,,,,,,,,,,,,,
,,,4096,302.99 s,1000,,3.3,29726.8,724.04,199.13,0.13,226.98,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,
,,,128,3370.26 s,1000,,0.29,2672.47,65.09,3285.91,0.052,3295.99,,,,,,,278.73 s,1000,,3.58,32314.16,787.05,194.74,0.44,240.59,,,,
,,,256,1795.63 s,1000,,0.55,5016.02,122.17,1723.78,0.056,1735.02,,,,,,,,,,,,,,,,,,,
,,,512,996.69 s,1000,,1,9036.83,220.1,929.42,0.059,942.22,,,,,,,,,,,,,,,,,,,
,,,1024,581.15 s,1000,,1.72,15498.45,377.48,517.21,0.069,531.64,,,,,,,,,,,,,,,,,,,
,,,2048,352.22 s,1000,,2.83,25571.87,622.84,287.88,0.083,306.45,,,,,,,,,,,,,,,,,,,
,,,3072,303.73 s,1000,,3.29,29654.38,722.27,231.99,0.1,254.32,,,,,,,,,,,,,,,,,,,
,,,4096,301.85 s,1000,,3.31,29839.07,726.77,231.19,0.13,256.59,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,
,,,128,3437.33 s,1000,,0.29,2620.32,63.82,3365.05,0.052,3375.99,,,,,,,277.65 s,1000,,3.6,32439.86,790.12,211.46,0.44,251.25,,,,
,,,256,1863.65 s,1000,,0.53,4832.94,117.71,1806.92,0.056,1818.51,,,,,,,,,,,,,,,,,,,
,,,512,995.65 s,1000,,1,9046.27,220.33,939.86,0.061,952.72,,,,,,,,,,,,,,,,,,,
,,,1024,566.05 s,1000,,1.76,15911.89,387.55,519.12,0.068,532.39,,,,,,,,,,,,,,,,,,,
,,,2048,334.50 s,1000,,2.98,26926.53,655.83,285.99,0.081,305.04,,,,,,,,,,,,,,,,,,,
,,,3072,327.96 s,1000,,3.04,27463.48,668.91,272.46,0.11,295.68,,,,,,,,,,,,,,,,,,,
,,,4096,300.27 s,1000,,3.33,29996.09,730.6,243.1,0.13,267.92,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,chunk_size: 1024,Sarathi Serve : 200 Requests,565.44 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,580.79 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,578.47 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,589.87 s,gpu = .25,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
