"TP=1, PP=2, 300 Request",model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,llama,128,1,800.56,500.7456,0.085843,517.2651,0.374738,3351.807,83.09059,493.2623,0,39858,,,,llama,1,912.68,607.4363,0.199577,635.2096,0.328702,2940.048,72.88316,605.6292,0,42718
,llama,256,1,610.19,310.3864,0.102652,332.8385,0.49165,4397.52,109.0136,306.5752,0,39934,,,,,,,,,,,,,,,
,llama,512,1,582.03,282.4876,0.117411,305.5453,0.515437,4610.283,114.2879,279.3763,0,40056,,,,,,,,,,,,,,,
,llama,1024,1,618.28,316.9961,0.132351,342.0672,0.485217,4339.98,107.5872,314.458,0,39904,,,,,,,,,,,,,,,
,llama,2048,1,654.71,352.6461,0.151002,377.645,0.458218,4098.491,101.6007,350.7606,0,39878,,,,,,,,,,,,,,,
,llama,3072,1,659.71,357.7748,0.158091,383.0256,0.454745,4067.428,100.8307,355.8599,0,39928,,,,,,,,,,,,,,,
,llama,4096,1,681.58,381.1601,0.160977,405.3231,0.440154,3936.916,97.59529,379.4238,0,39914,,,,,,,,,,,,,,,
,llama,128,5,795.5,722.9992,0.086118,739.0768,0.377121,3373.128,83.61911,715.5107,0,39858,,,,llama,5,910.44,833.8117,0.19982,858.7459,0.329511,2947.282,73.06248,831.6204,0,42718
,llama,256,5,596.79,523.8617,0.10132,544.8171,0.502689,4496.26,111.4613,520.1646,0,39934,,,,,,,,,,,,,,,
,llama,512,5,591.91,519.3829,0.116637,539.6052,0.506834,4533.329,112.3803,515.503,0,40056,,,,,,,,,,,,,,,
,llama,1024,5,616.8,541.9766,0.13447,564.6009,0.486381,4350.394,107.8453,539.4227,0,39904,,,,,,,,,,,,,,,
,llama,2048,5,662.5,588.222,0.152024,611.2001,0.45283,4050.299,100.406,586.3662,0,39878,,,,,,,,,,,,,,,
,llama,3072,5,663.35,587.9143,0.158747,611.0098,0.45225,4045.109,100.2774,585.9989,0,39928,,,,,,,,,,,,,,,
,llama,4096,5,687.74,613.309,0.162801,635.1685,0.436211,3901.653,96.72114,611.5731,0,39914,,,,,,,,,,,,,,,
