Sarathi,model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,llama,128,1,431.79,124.0326,0.075075,170.6224,0.694782,1837.69,306.0469,123.7326,0,39591,,,,llama,1,355.71,36.28231,0.133983,121.7571,0.843384,2230.739,371.5049,35.45156,7,39431
,llama,256,1,340.16,23.86649,0.104447,100.5137,0.881938,2332.714,388.4878,23.10116,1,39521,,,,,,,,,,,,,,,
,llama,512,1,340.48,22.77464,0.126361,105.5103,0.881109,2330.522,388.1227,22.28286,1,39557,,,,,,,,,,,,,,,
,llama,1024,1,346.33,27.66931,0.137101,113.1578,0.866226,2291.156,381.5667,27.15542,1,39533,,,,,,,,,,,,,,,
,llama,2048,1,345.41,28.0269,0.136237,113.309,0.868533,2297.258,382.583,27.46376,1,39497,,,,,,,,,,,,,,,
,llama,3072,1,344.79,30.41043,0.142521,116.0625,0.870095,2301.389,383.271,29.57215,2,39429,,,,,,,,,,,,,,,
,llama,4096,1,348.33,31.40715,0.144812,117.7267,0.861252,2278.001,379.3759,31.02422,3,39497,,,,,,,,,,,,,,,
,llama,128,5,458.58,371.5283,0.081736,405.7157,0.654193,1730.333,288.1678,371.3089,0,39591,,,vLLM,llama,5,335.12,237.8734,0.207933,280.9486,0.895202,2367.797,394.3304,236.2093,10,40435
,llama,256,5,336.28,237.7254,0.104358,282.6386,0.892114,2359.629,392.9701,237.2328,0,39521,,,,,,,,,,,,,,,
,llama,512,5,321.62,217.2547,0.123385,268.3744,0.932778,2467.185,410.8824,216.681,2,39567,,,,,,,,,,,,,,,
,llama,1024,5,327.63,222.2027,0.13054,273.1928,0.915667,2421.927,403.3452,221.6052,7,39559,,,,,,,,,,,,,,,
,llama,2048,5,335.3,229.3185,0.190235,280.3141,0.894721,2366.525,394.1187,228.6542,6,39483,,,,,,,,,,,,,,,
,llama,3072,5,333.3,228.0804,0.19763,279.1148,0.90009,2380.726,396.4836,227.6134,4,39429,,,,,,,,,,,,,,,
,llama,4096,5,336.9,230.8186,0.198009,282.5913,0.890472,2355.286,392.247,230.6017,9,39497,,,,,,,,,,,,,,,
,llama,128,10,454.14,395.058,0.079864,429.2755,0.660589,1747.25,290.9852,394.898,0,39591,,,vLLM,llama,10,336.51,268.8517,0.208691,308.8382,0.891504,2358.016,392.7016,267.5045,10,40435
,llama,256,10,336.07,265.3826,0.104668,307.4827,0.892671,2361.103,393.2157,265.224,0,39521,,,,,,,,,,,,,,,
