model,gpu_memory_utilization,chunked_prefill,kv_offloading,status,end_to_end_s,num_requests,p99_ttft_s,p99_tpot_s,p99_latency_s,max_gpu_mem_mib,num_preemptions,kv_offload_gpu_to_cpu_mb,kv_offload_cpu_to_gpu_mb,tokens_served_from_offload_cache
llama2_7b,0.25,False,False,failed,,,,,,14959.0,,,,
llama2_7b,0.25,False,True,failed,,,,,,14959.0,,,,
llama2_7b,0.25,True,False,failed,,,,,,13397.0,,,,
llama2_7b,0.25,True,True,failed,,,,,,13397.0,,,,
llama2_7b,0.45,False,False,failed,,,,,,14959.0,,,,
llama2_7b,0.45,False,True,failed,,,,,,14959.0,,,,
llama2_7b,0.45,True,False,failed,,,,,,13397.0,,,,
llama2_7b,0.45,True,True,failed,,,,,,13397.0,,,,
llama2_7b,0.65,False,False,ok,5583.439,1000,5516.245313935756,0.09480274009899164,5530.417874012264,32773.0,29,,,0
llama2_7b,0.65,False,True,ok,5652.334,1000,5584.4524790492305,0.09751472911868216,5597.7475380967535,32871.0,29,4716629.065728,119361.503232,0
llama2_7b,0.65,True,False,ok,5368.79,1000,5300.941684236334,0.09275898772701333,5314.614939820657,29943.0,27,,,0
llama2_7b,0.65,True,True,ok,5360.157,1000,5292.010774774129,0.08795637544159442,5305.7920717941715,30047.0,27,4716587.122688,109186.121728,8368
llama2_7b,0.85,False,False,ok,4693.246,1000,4635.64915750185,0.13567817687127373,4653.870605018355,41237.0,28,,,0
llama2_7b,0.85,False,True,ok,4737.811,1000,4679.653597602491,0.1329960401002895,4698.068928244295,41351.0,27,4716603.899904,131399.155712,0
llama2_7b,0.85,True,False,ok,4553.842,1000,4500.123515394512,0.13738939706688538,4514.429291700581,39031.0,21,,,0
llama2_7b,0.85,True,True,ok,4540.01,1000,4486.339816031807,0.13724044707079128,4500.339937823107,39143.0,26,4716620.67712,122641.44896,19520
mistral_7b,0.25,False,False,failed,,,,,,16391.0,,,,
mistral_7b,0.25,False,True,failed,,,,,,16391.0,,,,
mistral_7b,0.25,True,False,failed,,,,,,14413.0,,,,
mistral_7b,0.25,True,True,failed,,,,,,14413.0,,,,
mistral_7b,0.45,False,False,ok,3875.697,1000,3826.7290654693065,0.09168391308434881,3839.165477064651,24523.0,33,,,0
mistral_7b,0.45,False,True,ok,3851.604,1000,3803.0627119462574,0.08724138234717614,3814.9045973308885,24609.0,32,1179161.460736,33644.609536,0
mistral_7b,0.45,True,False,ok,3411.244,1000,3369.4665238561306,0.11962743318026317,3382.4750447466236,20873.0,19,,,0
