model,gpu_memory_utilization,chunked_prefill,kv_offloading,status,end_to_end_s,num_requests,p99_ttft_s,p99_tpot_s,p99_latency_s,max_gpu_mem_mib,num_preemptions,kv_offload_gpu_to_cpu_mb,kv_offload_cpu_to_gpu_mb,tokens_served_from_offload_cache
llama2_7b,0.25,False,False,failed,,,,,,14959.0,,,,
llama2_7b,0.25,False,True,failed,,,,,,14959.0,,,,
llama2_7b,0.25,True,False,failed,,,,,,13397.0,,,,
llama2_7b,0.25,True,True,failed,,,,,,13397.0,,,,
llama2_7b,0.45,False,False,failed,,,,,,14959.0,,,,
llama2_7b,0.45,False,True,failed,,,,,,14959.0,,,,
llama2_7b,0.45,True,False,failed,,,,,,13397.0,,,,
llama2_7b,0.45,True,True,failed,,,,,,13397.0,,,,
llama2_7b,0.65,False,False,ok,5571.431,1000,5504.290775164157,0.09462288165581692,5518.465446187154,32773.0,28,,,0
llama2_7b,0.65,False,True,ok,4349.827,1000,4294.243983881093,0.07953872932790491,4307.274721578284,30059.0,29,118531.03104,4698610.335744,8742512
llama2_7b,0.65,True,False,ok,5361.719,1000,5293.918104279592,0.09314958889145362,5307.590849413151,29943.0,27,,,0
llama2_7b,0.65,True,True,ok,4119.173,1000,4064.6885088824397,0.06925739072724534,4076.643701121167,30047.0,30,118531.03104,4704289.42336,8722192
llama2_7b,0.85,False,False,ok,4678.607,1000,4621.051203928124,0.13494724378532186,4639.283485718309,41237.0,27,,,0
llama2_7b,0.85,False,True,ok,3435.207,1000,3389.3393292293604,0.09023879474398416,3403.052606812178,39975.0,28,118564.585472,4709255.479296,8711296
llama2_7b,0.85,True,False,ok,4548.587,1000,4494.93240275819,0.13776257139147913,4509.210203955418,39031.0,22,,,0
llama2_7b,0.85,True,True,ok,3357.337,1000,3314.7234062327757,0.09647645460202953,3325.5928098350705,39143.0,27,118522.642432,4686757.23264,8697840
mistral_7b,0.25,False,False,failed,,,,,,16391.0,,,,
mistral_7b,0.25,False,True,failed,,,,,,16391.0,,,,
mistral_7b,0.25,True,False,failed,,,,,,14413.0,,,,
mistral_7b,0.25,True,True,failed,,,,,,14413.0,,,,
mistral_7b,0.45,False,False,ok,3867.562,1000,3818.6711301365785,0.09137779878075948,3831.092157990089,24523.0,33,,,0
mistral_7b,0.45,False,True,ok,2433.239,1000,2397.092877095405,0.052675019434119036,2405.663032528081,21037.0,33,29483.859968,1182877.61408,8727440
mistral_7b,0.45,True,False,ok,3404.567,1000,3362.824133578228,0.11940109343751952,3375.80501888146,20873.0,18,,,0
